Game,Competition,Score,opening,closing
canada-french-guiana-E5odylOD,concacaf-nations-league-2019-2020,2.75,2.0,1.975
canada-french-guiana-E5odylOD,concacaf-nations-league-2019-2020,3.25,1.68,1.55
canada-french-guiana-E5odylOD,concacaf-nations-league-2019-2020,2.25,2.68,2.72
dominican-republic-bermuda-MVl4ZRhQ,concacaf-nations-league-2019-2020,2.5,1.6353846153846152,1.6176923076923078
dominican-republic-bermuda-MVl4ZRhQ,concacaf-nations-league-2019-2020,2.75,1.92,1.92
dominican-republic-bermuda-MVl4ZRhQ,concacaf-nations-league-2019-2020,3,2.1,2.1
dominican-republic-bermuda-MVl4ZRhQ,concacaf-nations-league-2019-2020,3.5,2.5166666666666666,2.531111111111111
dominican-republic-bermuda-MVl4ZRhQ,concacaf-nations-league-2019-2020,4.5,4.3625,4.3625
dominican-republic-bermuda-MVl4ZRhQ,concacaf-nations-league-2019-2020,5.5,7.8125,7.8125
dominican-republic-bermuda-MVl4ZRhQ,concacaf-nations-league-2019-2020,0.5,1.0114285714285713,1.0114285714285713
dominican-republic-bermuda-MVl4ZRhQ,concacaf-nations-league-2019-2020,1.5,1.2025,1.2
dominican-republic-bermuda-MVl4ZRhQ,concacaf-nations-league-2019-2020,6.5,15.6,15.6
dominican-republic-bermuda-MVl4ZRhQ,concacaf-nations-league-2019-2020,4,3.8,3.8
dominican-republic-bermuda-MVl4ZRhQ,concacaf-nations-league-2019-2020,1,1.03,1.03
dominican-republic-bermuda-MVl4ZRhQ,concacaf-nations-league-2019-2020,2,1.3,1.3
dominican-republic-bermuda-MVl4ZRhQ,concacaf-nations-league-2019-2020,2.5,2.2392307692307694,2.26
dominican-republic-bermuda-MVl4ZRhQ,concacaf-nations-league-2019-2020,2.75,1.9,1.9
dominican-republic-bermuda-MVl4ZRhQ,concacaf-nations-league-2019-2020,3,1.66,1.66
dominican-republic-bermuda-MVl4ZRhQ,concacaf-nations-league-2019-2020,3.5,1.4977777777777779,1.4922222222222221
dominican-republic-bermuda-MVl4ZRhQ,concacaf-nations-league-2019-2020,4.5,1.1849999999999998,1.1849999999999998
dominican-republic-bermuda-MVl4ZRhQ,concacaf-nations-league-2019-2020,5.5,1.06125,1.06125
dominican-republic-bermuda-MVl4ZRhQ,concacaf-nations-league-2019-2020,0.5,12.142857142857142,12.142857142857142
dominican-republic-bermuda-MVl4ZRhQ,concacaf-nations-league-2019-2020,1.5,4.05,4.1075
dominican-republic-bermuda-MVl4ZRhQ,concacaf-nations-league-2019-2020,6.5,1.012,1.012
dominican-republic-bermuda-MVl4ZRhQ,concacaf-nations-league-2019-2020,4,1.22,1.22
dominican-republic-bermuda-MVl4ZRhQ,concacaf-nations-league-2019-2020,1,8.9,8.9
dominican-republic-bermuda-MVl4ZRhQ,concacaf-nations-league-2019-2020,2,3.2,3.2
el-salvador-jamaica-lbpJTdM4,concacaf-nations-league-2019-2020,3,2.5,3.76
el-salvador-jamaica-lbpJTdM4,concacaf-nations-league-2019-2020,2.5,2.31375,2.6925
el-salvador-jamaica-lbpJTdM4,concacaf-nations-league-2019-2020,3.5,4.922142857142857,5.989285714285714
el-salvador-jamaica-lbpJTdM4,concacaf-nations-league-2019-2020,1.5,1.4329411764705882,1.5564705882352943
el-salvador-jamaica-lbpJTdM4,concacaf-nations-league-2019-2020,2,1.7762499999999999,2.0300000000000002
el-salvador-jamaica-lbpJTdM4,concacaf-nations-league-2019-2020,5.5,12.61,17.46875
el-salvador-jamaica-lbpJTdM4,concacaf-nations-league-2019-2020,0.5,1.0607142857142857,1.0978571428571429
el-salvador-jamaica-lbpJTdM4,concacaf-nations-league-2019-2020,4.5,7.855,9.9375
el-salvador-jamaica-lbpJTdM4,concacaf-nations-league-2019-2020,2.25,2.25,2.37
el-salvador-jamaica-lbpJTdM4,concacaf-nations-league-2019-2020,1.75,1.6949999999999998,1.745
el-salvador-jamaica-lbpJTdM4,concacaf-nations-league-2019-2020,1,1.06,1.14
el-salvador-jamaica-lbpJTdM4,concacaf-nations-league-2019-2020,4,4.8,7.9
el-salvador-jamaica-lbpJTdM4,concacaf-nations-league-2019-2020,1.25,1.31,1.35
el-salvador-jamaica-lbpJTdM4,concacaf-nations-league-2019-2020,3,1.45,1.23
el-salvador-jamaica-lbpJTdM4,concacaf-nations-league-2019-2020,2.5,1.505625,1.4175
el-salvador-jamaica-lbpJTdM4,concacaf-nations-league-2019-2020,3.5,1.1635714285714285,1.1142857142857143
el-salvador-jamaica-lbpJTdM4,concacaf-nations-league-2019-2020,1.5,2.5347058823529416,2.283529411764706
el-salvador-jamaica-lbpJTdM4,concacaf-nations-league-2019-2020,2,2.0375,1.72125
el-salvador-jamaica-lbpJTdM4,concacaf-nations-league-2019-2020,5.5,1.00875,1.00625
el-salvador-jamaica-lbpJTdM4,concacaf-nations-league-2019-2020,0.5,6.903571428571429,5.689285714285715
el-salvador-jamaica-lbpJTdM4,concacaf-nations-league-2019-2020,4.5,1.0441666666666667,1.0241666666666667
el-salvador-jamaica-lbpJTdM4,concacaf-nations-league-2019-2020,2.25,1.58,1.55
el-salvador-jamaica-lbpJTdM4,concacaf-nations-league-2019-2020,1.75,2.0225,1.975
el-salvador-jamaica-lbpJTdM4,concacaf-nations-league-2019-2020,1,7.4,4.9
el-salvador-jamaica-lbpJTdM4,concacaf-nations-league-2019-2020,4,1.14,1.05
el-salvador-jamaica-lbpJTdM4,concacaf-nations-league-2019-2020,1.25,2.89,2.9
guadeloupe-martinique-KIh2XvNu,concacaf-nations-league-2019-2020,3,2.5,2.5
guadeloupe-martinique-KIh2XvNu,concacaf-nations-league-2019-2020,1.5,1.27,1.27
guadeloupe-martinique-KIh2XvNu,concacaf-nations-league-2019-2020,2,1.42,1.42
guadeloupe-martinique-KIh2XvNu,concacaf-nations-league-2019-2020,3.5,3.142857142857143,3.142857142857143
guadeloupe-martinique-KIh2XvNu,concacaf-nations-league-2019-2020,2.5,1.8554545454545455,1.8572727272727272
guadeloupe-martinique-KIh2XvNu,concacaf-nations-league-2019-2020,0.5,1.0250000000000001,1.0250000000000001
guadeloupe-martinique-KIh2XvNu,concacaf-nations-league-2019-2020,1,1.06,1.06
guadeloupe-martinique-KIh2XvNu,concacaf-nations-league-2019-2020,4,4.8,4.78
guadeloupe-martinique-KIh2XvNu,concacaf-nations-league-2019-2020,4.5,5.916666666666667,5.916666666666667
guadeloupe-martinique-KIh2XvNu,concacaf-nations-league-2019-2020,6.5,15.0,15.0
guadeloupe-martinique-KIh2XvNu,concacaf-nations-league-2019-2020,5.5,9.0,9.0
guadeloupe-martinique-KIh2XvNu,concacaf-nations-league-2019-2020,3,1.47,1.47
guadeloupe-martinique-KIh2XvNu,concacaf-nations-league-2019-2020,1.5,3.4285714285714284,3.4285714285714284
guadeloupe-martinique-KIh2XvNu,concacaf-nations-league-2019-2020,2,2.65,2.65
guadeloupe-martinique-KIh2XvNu,concacaf-nations-league-2019-2020,3.5,1.3157142857142858,1.3157142857142858
guadeloupe-martinique-KIh2XvNu,concacaf-nations-league-2019-2020,2.5,1.8554545454545455,1.8572727272727272
guadeloupe-martinique-KIh2XvNu,concacaf-nations-league-2019-2020,0.5,9.416666666666666,9.416666666666666
guadeloupe-martinique-KIh2XvNu,concacaf-nations-league-2019-2020,1,7.4,7.4
guadeloupe-martinique-KIh2XvNu,concacaf-nations-league-2019-2020,4,1.14,1.14
guadeloupe-martinique-KIh2XvNu,concacaf-nations-league-2019-2020,4.5,1.095,1.095
guadeloupe-martinique-KIh2XvNu,concacaf-nations-league-2019-2020,6.5,1.01,1.01
guadeloupe-martinique-KIh2XvNu,concacaf-nations-league-2019-2020,5.5,1.032,1.032
haiti-cuba-OvyWUo1s,concacaf-nations-league-2019-2020,2.5,1.943076923076923,1.8438461538461537
haiti-cuba-OvyWUo1s,concacaf-nations-league-2019-2020,5.5,10.5,9.5
haiti-cuba-OvyWUo1s,concacaf-nations-league-2019-2020,4.5,6.535714285714286,5.785714285714286
haiti-cuba-OvyWUo1s,concacaf-nations-league-2019-2020,1.5,1.2925,1.25625
haiti-cuba-OvyWUo1s,concacaf-nations-league-2019-2020,0.5,1.03,1.0242857142857142
haiti-cuba-OvyWUo1s,concacaf-nations-league-2019-2020,3.5,3.375,3.08125
