oddsportal,matchday,home_team,away_team,correct_score,1N2_1,1N2_N,1N2_2,betexplorer,matchdate,period,location,season,competition,bet_won,target,odd_win,best_odd_won,home_team_rank_FIFA,away_team_rank_FIFA,home_score,away_score,diff_score,home_points,away_points
soccer/north-central-america/concacaf-nations-league-2019-2020/bermuda-el-salvador-WtMBTy57,17.11.2018,Bermuda,El Salvador,1:0,5.62,4.47,1.41,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC,2018-11-17,2018-11,north-central-america,2020,concacaf-nations-league-2019,1,0.0,5.62,False,179.75,78.33333333333333,1.0,0.0,1.0,3.0,0.0
soccer/north-central-america/concacaf-nations-league-2019-2020/cuba-dominican-republic-WMcUGbL1,17.11.2018,Cuba,Dominican Republic,1:0,1.43,4.11,6.01,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC,2018-11-17,2018-11,north-central-america,2020,concacaf-nations-league-2019,1,0.0,1.43,True,178.5,154.33333333333334,1.0,0.0,1.0,3.0,0.0
soccer/north-central-america/concacaf-nations-league-2019-2020/canada-dominica-pj7f4Lyd,17.10.2018,Canada,Dominica,5:0,1.02,13.16,30.18,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC,2018-10-17,2018-10,north-central-america,2020,concacaf-nations-league-2019,1,0.0,1.02,True,81.58333333333333,164.66666666666666,5.0,0.0,5.0,3.0,0.0
soccer/north-central-america/concacaf-nations-league-2019-2020/nicaragua-anguilla-23Z2E5a3,15.10.2018,Nicaragua,Anguilla,6:0,1.02,12.88,35.25,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC,2018-10-15,2018-10,north-central-america,2020,concacaf-nations-league-2019,1,0.0,1.02,True,126.75,207.0,6.0,0.0,6.0,3.0,0.0
soccer/north-central-america/concacaf-nations-league-2019-2020/el-salvador-barbados-tbl8hOxp,14.10.2018,El Salvador,Barbados,3:0,1.36,4.91,6.08,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC,2018-10-14,2018-10,north-central-america,2020,concacaf-nations-league-2019,1,0.0,1.36,True,78.33333333333333,158.75,3.0,0.0,3.0,3.0,0.0
soccer/north-central-america/concacaf-nations-league-2019-2020/bahamas-antigua-and-barbuda-OINBCqUF,13.10.2018,Bahamas,Antigua and Barbuda,0:6,7.96,5.98,1.22,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC,2018-10-13,2018-10,north-central-america,2020,concacaf-nations-league-2019,2,2.0,1.22,True,207.75,129.83333333333334,0.0,6.0,6.0,0.0,3.0
soccer/north-central-america/concacaf-nations-league-2019-2020/dominican-republic-cayman-islands-xQsHj27d,13.10.2018,Dominican Republic,Cayman Islands,3:0,1.07,9.4,17.33,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC,2018-10-13,2018-10,north-central-america,2020,concacaf-nations-league-2019,1,0.0,1.07,True,154.33333333333334,202.16666666666666,3.0,0.0,3.0,3.0,0.0
soccer/north-central-america/concacaf-nations-league-2019-2020/aruba-bermuda-n9Ep0Fvg,10.09.2018,Aruba,Bermuda,3:1,3.67,3.5,1.83,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC,2018-09-10,2018-09,north-central-america,2020,concacaf-nations-league-2019,1,0.0,3.67,False,184.16666666666666,179.75,3.0,1.0,2.0,3.0,0.0
soccer/north-central-america/concacaf-nations-league-2019-2020/jamaica-cayman-islands-xb7ccDOB,10.09.2018,Jamaica,Cayman Islands,4:0,1.01,19.14,34.43,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC,2018-09-10,2018-09,north-central-america,2020,concacaf-nations-league-2019,1,0.0,1.01,True,52.916666666666664,202.16666666666666,4.0,0.0,4.0,3.0,0.0
soccer/north-central-america/concacaf-nations-league-2019-2020/montserrat-el-salvador-OE99fB8U,09.09.2018,Montserrat,El Salvador,1:2,10.5,6.3,1.2,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC,2018-09-09,2018-09,north-central-america,2020,concacaf-nations-league-2019,2,2.0,1.2,True,201.16666666666666,78.33333333333333,1.0,2.0,1.0,0.0,3.0
soccer/north-central-america/concacaf-nations-league-2019-2020/belize-bahamas-d8NWBCw5,08.09.2018,Belize,Bahamas,4:0,1.58,3.77,5.01,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC,2018-09-08,2018-09,north-central-america,2020,concacaf-nations-league-2019,1,0.0,1.58,True,166.33333333333334,207.75,4.0,0.0,4.0,3.0,0.0
soccer/north-central-america/concacaf-nations-league-2019-2020/cuba-turks-and-caicos-islands-Gl61dXwI,08.09.2018,Cuba,Turks and Caicos Islands,11:0,1.1,9.0,11.25,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC,2018-09-08,2018-09,north-central-america,2020,concacaf-nations-league-2019,1,0.0,1.1,True,178.5,205.25,11.0,0.0,11.0,3.0,0.0
soccer/north-central-america/concacaf-nations-league-2019-2020/guyana-barbados-EqYRChOb,07.09.2018,Guyana,Barbados,3:0,2.6,3.47,2.38,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC,2018-09-07,2018-09,north-central-america,2020,concacaf-nations-league-2019,1,0.0,2.6,False,173.0,158.75,3.0,0.0,3.0,3.0,0.0
