,home_team,away_team,home_score,away_score,h_points,a_points,timestamp
0,Qatar,Ecuador,0,2,0.0,3.0,20221106212454
1,Senegal,Netherlands,2,3,0.0,3.0,20221106212454
2,Qatar,Senegal,1,3,0.0,3.0,20221106212454
3,Netherlands,Ecuador,1,1,1.0,1.0,20221106212454
4,Ecuador,Senegal,3,2,3.0,0.0,20221106212454
5,Netherlands,Qatar,0,1,0.0,3.0,20221106212454
6,England,Iran,3,0,3.0,0.0,20221106212454
7,USA,Wales,3,1,3.0,0.0,20221106212454
8,Wales,Iran,1,2,0.0,3.0,20221106212454
9,England,USA,2,0,3.0,0.0,20221106212454
10,Iran,USA,1,1,1.0,1.0,20221106212454
11,Wales,England,0,0,1.0,1.0,20221106212454
12,Argentina,Saudi Arabia,2,1,3.0,0.0,20221106212454
13,Mexico,Poland,0,2,0.0,3.0,20221106212454
14,Poland,Saudi Arabia,2,1,3.0,0.0,20221106212454
15,Argentina,Mexico,0,0,1.0,1.0,20221106212454
16,Poland,Argentina,0,0,1.0,1.0,20221106212454
17,Saudi Arabia,Mexico,1,1,1.0,1.0,20221106212454
18,Denmark,Tunisia,2,1,3.0,0.0,20221106212454
19,France,Australia,2,1,3.0,0.0,20221106212454
20,Tunisia,Australia,3,3,1.0,1.0,20221106212454
21,France,Denmark,2,2,1.0,1.0,20221106212454
22,Australia,Denmark,1,1,1.0,1.0,20221106212454
23,Tunisia,France,1,3,0.0,3.0,20221106212454
24,Germany,Japan,3,3,1.0,1.0,20221106212454
25,Spain,Costa Rica,2,0,3.0,0.0,20221106212454
26,Japan,Costa Rica,1,1,1.0,1.0,20221106212454
27,Spain,Germany,2,2,1.0,1.0,20221106212454
28,Costa Rica,Germany,0,2,0.0,3.0,20221106212454
29,Japan,Spain,0,1,0.0,3.0,20221106212454
30,Morocco,Croatia,0,2,0.0,3.0,20221106212454
31,Belgium,Canada,4,2,3.0,0.0,20221106212454
32,Belgium,Morocco,3,3,1.0,1.0,20221106212454
33,Croatia,Canada,4,1,3.0,0.0,20221106212454
34,Canada,Morocco,0,2,0.0,3.0,20221106212454
35,Croatia,Belgium,1,0,3.0,0.0,20221106212454
36,Switzerland,Cameroon,2,1,3.0,0.0,20221106212454
37,Brazil,Serbia,2,1,3.0,0.0,20221106212454
38,Cameroon,Serbia,0,3,0.0,3.0,20221106212454
39,Brazil,Switzerland,3,3,1.0,1.0,20221106212454
40,Cameroon,Brazil,1,2,0.0,3.0,20221106212454
41,Serbia,Switzerland,3,2,3.0,0.0,20221106212454
42,Uruguay,South Korea,3,0,3.0,0.0,20221106212454
43,Portugal,Ghana,3,0,3.0,0.0,20221106212454
44,South Korea,Ghana,1,1,1.0,1.0,20221106212454
45,Portugal,Uruguay,0,2,0.0,3.0,20221106212454
46,Ghana,Uruguay,1,0,3.0,0.0,20221106212454
47,South Korea,Portugal,3,2,3.0,0.0,20221106212454
