,home_team,away_team,home_score,away_score,h_points,a_points,timestamp
0,Qatar,Ecuador,0,2,0.0,3.0,20221108203335
1,Senegal,Netherlands,2,1,3.0,0.0,20221108203335
2,Qatar,Senegal,0,1,0.0,3.0,20221108203335
3,Netherlands,Ecuador,2,1,3.0,0.0,20221108203335
4,Ecuador,Senegal,1,2,0.0,3.0,20221108203335
5,Netherlands,Qatar,2,0,3.0,0.0,20221108203335
6,England,Iran,2,1,3.0,0.0,20221108203335
7,USA,Wales,2,1,3.0,0.0,20221108203335
8,Wales,Iran,3,2,3.0,0.0,20221108203335
9,England,USA,1,0,3.0,0.0,20221108203335
10,Iran,USA,0,2,0.0,3.0,20221108203335
11,Wales,England,1,1,1.0,1.0,20221108203335
12,Argentina,Saudi Arabia,1,2,0.0,3.0,20221108203335
13,Mexico,Poland,1,2,0.0,3.0,20221108203335
14,Poland,Saudi Arabia,1,0,3.0,0.0,20221108203335
15,Argentina,Mexico,0,0,1.0,1.0,20221108203335
16,Poland,Argentina,2,2,1.0,1.0,20221108203335
17,Saudi Arabia,Mexico,1,1,1.0,1.0,20221108203335
18,Denmark,Tunisia,3,0,3.0,0.0,20221108203335
19,France,Australia,2,1,3.0,0.0,20221108203335
20,Tunisia,Australia,3,3,1.0,1.0,20221108203335
21,France,Denmark,0,1,0.0,3.0,20221108203335
22,Australia,Denmark,2,3,0.0,3.0,20221108203335
23,Tunisia,France,0,2,0.0,3.0,20221108203335
24,Germany,Japan,3,3,1.0,1.0,20221108203335
25,Spain,Costa Rica,1,0,3.0,0.0,20221108203335
26,Japan,Costa Rica,2,1,3.0,0.0,20221108203335
27,Spain,Germany,1,1,1.0,1.0,20221108203335
28,Costa Rica,Germany,0,1,0.0,3.0,20221108203335
29,Japan,Spain,0,1,0.0,3.0,20221108203335
30,Morocco,Croatia,0,2,0.0,3.0,20221108203335
31,Belgium,Canada,0,0,1.0,1.0,20221108203335
32,Belgium,Morocco,2,0,3.0,0.0,20221108203335
33,Croatia,Canada,1,0,3.0,0.0,20221108203335
34,Canada,Morocco,0,2,0.0,3.0,20221108203335
35,Croatia,Belgium,1,0,3.0,0.0,20221108203335
36,Switzerland,Cameroon,3,3,1.0,1.0,20221108203335
37,Brazil,Serbia,0,2,0.0,3.0,20221108203335
38,Cameroon,Serbia,0,1,0.0,3.0,20221108203335
39,Brazil,Switzerland,3,4,0.0,3.0,20221108203335
40,Cameroon,Brazil,1,2,0.0,3.0,20221108203335
41,Serbia,Switzerland,3,2,3.0,0.0,20221108203335
42,Uruguay,South Korea,3,3,1.0,1.0,20221108203335
43,Portugal,Ghana,0,2,0.0,3.0,20221108203335
44,South Korea,Ghana,0,0,1.0,1.0,20221108203335
45,Portugal,Uruguay,1,3,0.0,3.0,20221108203335
46,Ghana,Uruguay,0,2,0.0,3.0,20221108203335
47,South Korea,Portugal,3,2,3.0,0.0,20221108203335
