,home_team,away_team,home_score,away_score,h_points,a_points,timestamp
0,Qatar,Ecuador,0,2,0.0,3.0,20221106215045
1,Senegal,Netherlands,2,3,0.0,3.0,20221106215045
2,Qatar,Senegal,0,1,0.0,3.0,20221106215045
3,Netherlands,Ecuador,2,0,3.0,0.0,20221106215045
4,Ecuador,Senegal,3,2,3.0,0.0,20221106215045
5,Netherlands,Qatar,3,0,3.0,0.0,20221106215045
6,England,Iran,2,1,3.0,0.0,20221106215045
7,USA,Wales,3,1,3.0,0.0,20221106215045
8,Wales,Iran,1,3,0.0,3.0,20221106215045
9,England,USA,2,0,3.0,0.0,20221106215045
10,Iran,USA,0,0,1.0,1.0,20221106215045
11,Wales,England,0,0,1.0,1.0,20221106215045
12,Argentina,Saudi Arabia,2,1,3.0,0.0,20221106215045
13,Mexico,Poland,0,2,0.0,3.0,20221106215045
14,Poland,Saudi Arabia,1,0,3.0,0.0,20221106215045
15,Argentina,Mexico,0,0,1.0,1.0,20221106215045
16,Poland,Argentina,0,0,1.0,1.0,20221106215045
17,Saudi Arabia,Mexico,1,1,1.0,1.0,20221106215045
18,Denmark,Tunisia,1,0,3.0,0.0,20221106215045
19,France,Australia,2,1,3.0,0.0,20221106215045
20,Tunisia,Australia,3,3,1.0,1.0,20221106215045
21,France,Denmark,1,0,3.0,0.0,20221106215045
22,Australia,Denmark,1,1,1.0,1.0,20221106215045
23,Tunisia,France,0,4,0.0,3.0,20221106215045
24,Germany,Japan,3,3,1.0,1.0,20221106215045
25,Spain,Costa Rica,2,0,3.0,0.0,20221106215045
26,Japan,Costa Rica,1,1,1.0,1.0,20221106215045
27,Spain,Germany,2,2,1.0,1.0,20221106215045
28,Costa Rica,Germany,0,2,0.0,3.0,20221106215045
29,Japan,Spain,0,1,0.0,3.0,20221106215045
30,Morocco,Croatia,0,2,0.0,3.0,20221106215045
31,Belgium,Canada,4,2,3.0,0.0,20221106215045
32,Belgium,Morocco,3,3,1.0,1.0,20221106215045
33,Croatia,Canada,4,1,3.0,0.0,20221106215045
34,Canada,Morocco,0,2,0.0,3.0,20221106215045
35,Croatia,Belgium,1,0,3.0,0.0,20221106215045
36,Switzerland,Cameroon,1,0,3.0,0.0,20221106215045
37,Brazil,Serbia,2,1,3.0,0.0,20221106215045
38,Cameroon,Serbia,2,2,1.0,1.0,20221106215045
39,Brazil,Switzerland,3,3,1.0,1.0,20221106215045
40,Cameroon,Brazil,1,2,0.0,3.0,20221106215045
41,Serbia,Switzerland,3,2,3.0,0.0,20221106215045
42,Uruguay,South Korea,3,3,1.0,1.0,20221106215045
43,Portugal,Ghana,3,0,3.0,0.0,20221106215045
44,South Korea,Ghana,1,1,1.0,1.0,20221106215045
45,Portugal,Uruguay,0,2,0.0,3.0,20221106215045
46,Ghana,Uruguay,1,0,3.0,0.0,20221106215045
47,South Korea,Portugal,3,2,3.0,0.0,20221106215045
