,home_team,away_team,home_score,away_score,h_points,a_points,timestamp
0,Qatar,Ecuador,0,2,0.0,3.0,20221106215439
1,Senegal,Netherlands,2,3,0.0,3.0,20221106215439
2,Qatar,Senegal,1,0,3.0,0.0,20221106215439
3,Netherlands,Ecuador,2,0,3.0,0.0,20221106215439
4,Ecuador,Senegal,3,2,3.0,0.0,20221106215439
5,Netherlands,Qatar,3,0,3.0,0.0,20221106215439
6,England,Iran,1,0,3.0,0.0,20221106215439
7,USA,Wales,4,0,3.0,0.0,20221106215439
8,Wales,Iran,1,0,3.0,0.0,20221106215439
9,England,USA,2,0,3.0,0.0,20221106215439
10,Iran,USA,1,0,3.0,0.0,20221106215439
11,Wales,England,0,0,1.0,1.0,20221106215439
12,Argentina,Saudi Arabia,2,1,3.0,0.0,20221106215439
13,Mexico,Poland,4,0,3.0,0.0,20221106215439
14,Poland,Saudi Arabia,1,0,3.0,0.0,20221106215439
15,Argentina,Mexico,0,0,1.0,1.0,20221106215439
16,Poland,Argentina,0,0,1.0,1.0,20221106215439
17,Saudi Arabia,Mexico,1,1,1.0,1.0,20221106215439
18,Denmark,Tunisia,1,0,3.0,0.0,20221106215439
19,France,Australia,2,1,3.0,0.0,20221106215439
20,Tunisia,Australia,3,3,1.0,1.0,20221106215439
21,France,Denmark,1,0,3.0,0.0,20221106215439
22,Australia,Denmark,1,1,1.0,1.0,20221106215439
23,Tunisia,France,0,4,0.0,3.0,20221106215439
24,Germany,Japan,1,0,3.0,0.0,20221106215439
25,Spain,Costa Rica,2,0,3.0,0.0,20221106215439
26,Japan,Costa Rica,2,2,1.0,1.0,20221106215439
27,Spain,Germany,1,0,3.0,0.0,20221106215439
28,Costa Rica,Germany,0,4,0.0,3.0,20221106215439
29,Japan,Spain,1,4,0.0,3.0,20221106215439
30,Morocco,Croatia,0,2,0.0,3.0,20221106215439
31,Belgium,Canada,4,2,3.0,0.0,20221106215439
32,Belgium,Morocco,3,3,1.0,1.0,20221106215439
33,Croatia,Canada,2,1,3.0,0.0,20221106215439
34,Canada,Morocco,0,2,0.0,3.0,20221106215439
35,Croatia,Belgium,1,0,3.0,0.0,20221106215439
36,Switzerland,Cameroon,1,0,3.0,0.0,20221106215439
37,Brazil,Serbia,2,1,3.0,0.0,20221106215439
38,Cameroon,Serbia,2,2,1.0,1.0,20221106215439
39,Brazil,Switzerland,3,3,1.0,1.0,20221106215439
40,Cameroon,Brazil,1,2,0.0,3.0,20221106215439
41,Serbia,Switzerland,3,2,3.0,0.0,20221106215439
42,Uruguay,South Korea,0,2,0.0,3.0,20221106215439
43,Portugal,Ghana,3,0,3.0,0.0,20221106215439
44,South Korea,Ghana,3,0,3.0,0.0,20221106215439
45,Portugal,Uruguay,1,0,3.0,0.0,20221106215439
46,Ghana,Uruguay,0,1,0.0,3.0,20221106215439
47,South Korea,Portugal,3,2,3.0,0.0,20221106215439
