,home_team,away_team,home_score,away_score,h_points,a_points,timestamp
0,Qatar,Ecuador,0,2,0.0,3.0,20221106221518
1,Senegal,Netherlands,0,2,0.0,3.0,20221106221518
2,Qatar,Senegal,0,2,0.0,3.0,20221106221518
3,Netherlands,Ecuador,2,1,3.0,0.0,20221106221518
4,Ecuador,Senegal,1,2,0.0,3.0,20221106221518
5,Netherlands,Qatar,5,0,3.0,0.0,20221106221518
6,England,Iran,0,2,0.0,3.0,20221106221518
7,USA,Wales,2,3,0.0,3.0,20221106221518
8,Wales,Iran,0,2,0.0,3.0,20221106221518
9,England,USA,1,0,3.0,0.0,20221106221518
10,Iran,USA,0,2,0.0,3.0,20221106221518
11,Wales,England,2,2,1.0,1.0,20221106221518
12,Argentina,Saudi Arabia,2,1,3.0,0.0,20221106221518
13,Mexico,Poland,0,2,0.0,3.0,20221106221518
14,Poland,Saudi Arabia,4,0,3.0,0.0,20221106221518
15,Argentina,Mexico,0,0,1.0,1.0,20221106221518
16,Poland,Argentina,2,2,1.0,1.0,20221106221518
17,Saudi Arabia,Mexico,1,1,1.0,1.0,20221106221518
18,Denmark,Tunisia,3,1,3.0,0.0,20221106221518
19,France,Australia,5,1,3.0,0.0,20221106221518
20,Tunisia,Australia,1,2,0.0,3.0,20221106221518
21,France,Denmark,1,1,1.0,1.0,20221106221518
22,Australia,Denmark,0,0,1.0,1.0,20221106221518
23,Tunisia,France,0,3,0.0,3.0,20221106221518
24,Germany,Japan,3,0,3.0,0.0,20221106221518
25,Spain,Costa Rica,1,0,3.0,0.0,20221106221518
26,Japan,Costa Rica,2,1,3.0,0.0,20221106221518
27,Spain,Germany,1,1,1.0,1.0,20221106221518
28,Costa Rica,Germany,1,3,0.0,3.0,20221106221518
29,Japan,Spain,0,1,0.0,3.0,20221106221518
30,Morocco,Croatia,0,2,0.0,3.0,20221106221518
31,Belgium,Canada,1,0,3.0,0.0,20221106221518
32,Belgium,Morocco,2,0,3.0,0.0,20221106221518
33,Croatia,Canada,1,0,3.0,0.0,20221106221518
34,Canada,Morocco,0,2,0.0,3.0,20221106221518
35,Croatia,Belgium,1,0,3.0,0.0,20221106221518
36,Switzerland,Cameroon,3,3,1.0,1.0,20221106221518
37,Brazil,Serbia,0,2,0.0,3.0,20221106221518
38,Cameroon,Serbia,1,3,0.0,3.0,20221106221518
39,Brazil,Switzerland,0,2,0.0,3.0,20221106221518
40,Cameroon,Brazil,1,2,0.0,3.0,20221106221518
41,Serbia,Switzerland,2,3,0.0,3.0,20221106221518
42,Uruguay,South Korea,0,2,0.0,3.0,20221106221518
43,Portugal,Ghana,5,1,3.0,0.0,20221106221518
44,South Korea,Ghana,0,0,1.0,1.0,20221106221518
45,Portugal,Uruguay,0,1,0.0,3.0,20221106221518
46,Ghana,Uruguay,0,2,0.0,3.0,20221106221518
47,South Korea,Portugal,3,2,3.0,0.0,20221106221518
