,home_team,away_team,home_score,away_score,h_points,a_points,timestamp
0,Qatar,Ecuador,0,2,0.0,3.0,20221107201333
1,Senegal,Netherlands,2,3,0.0,3.0,20221107201333
2,Qatar,Senegal,0,1,0.0,3.0,20221107201333
3,Netherlands,Ecuador,2,0,3.0,0.0,20221107201333
4,Ecuador,Senegal,3,2,3.0,0.0,20221107201333
5,Netherlands,Qatar,2,0,3.0,0.0,20221107201333
6,England,Iran,3,1,3.0,0.0,20221107201333
7,USA,Wales,1,0,3.0,0.0,20221107201333
8,Wales,Iran,1,1,1.0,1.0,20221107201333
9,England,USA,1,0,3.0,0.0,20221107201333
10,Iran,USA,0,2,0.0,3.0,20221107201333
11,Wales,England,2,2,1.0,1.0,20221107201333
12,Argentina,Saudi Arabia,3,0,3.0,0.0,20221107201333
13,Mexico,Poland,0,1,0.0,3.0,20221107201333
14,Poland,Saudi Arabia,1,2,0.0,3.0,20221107201333
15,Argentina,Mexico,0,0,1.0,1.0,20221107201333
16,Poland,Argentina,2,2,1.0,1.0,20221107201333
17,Saudi Arabia,Mexico,1,1,1.0,1.0,20221107201333
18,Denmark,Tunisia,2,1,3.0,0.0,20221107201333
19,France,Australia,1,0,3.0,0.0,20221107201333
20,Tunisia,Australia,3,3,1.0,1.0,20221107201333
21,France,Denmark,0,2,0.0,3.0,20221107201333
22,Australia,Denmark,1,1,1.0,1.0,20221107201333
23,Tunisia,France,0,2,0.0,3.0,20221107201333
24,Germany,Japan,3,2,3.0,0.0,20221107201333
25,Spain,Costa Rica,2,0,3.0,0.0,20221107201333
26,Japan,Costa Rica,2,1,3.0,0.0,20221107201333
27,Spain,Germany,1,2,0.0,3.0,20221107201333
28,Costa Rica,Germany,0,2,0.0,3.0,20221107201333
29,Japan,Spain,0,1,0.0,3.0,20221107201333
30,Morocco,Croatia,0,2,0.0,3.0,20221107201333
31,Belgium,Canada,3,1,3.0,0.0,20221107201333
32,Belgium,Morocco,3,3,1.0,1.0,20221107201333
33,Croatia,Canada,1,0,3.0,0.0,20221107201333
34,Canada,Morocco,0,2,0.0,3.0,20221107201333
35,Croatia,Belgium,1,0,3.0,0.0,20221107201333
36,Switzerland,Cameroon,0,2,0.0,3.0,20221107201333
37,Brazil,Serbia,2,1,3.0,0.0,20221107201333
38,Cameroon,Serbia,2,0,3.0,0.0,20221107201333
39,Brazil,Switzerland,3,3,1.0,1.0,20221107201333
40,Cameroon,Brazil,1,2,0.0,3.0,20221107201333
41,Serbia,Switzerland,3,2,3.0,0.0,20221107201333
42,Uruguay,South Korea,3,3,1.0,1.0,20221107201333
43,Portugal,Ghana,3,0,3.0,0.0,20221107201333
44,South Korea,Ghana,1,1,1.0,1.0,20221107201333
45,Portugal,Uruguay,2,4,0.0,3.0,20221107201333
46,Ghana,Uruguay,1,0,3.0,0.0,20221107201333
47,South Korea,Portugal,3,2,3.0,0.0,20221107201333
