,home_team,away_team,home_score,away_score,h_points,a_points,timestamp
0,Qatar,Ecuador,0,2,0.0,3.0,20221106221526
1,Senegal,Netherlands,2,3,0.0,3.0,20221106221526
2,Qatar,Senegal,0,1,0.0,3.0,20221106221526
3,Netherlands,Ecuador,2,0,3.0,0.0,20221106221526
4,Ecuador,Senegal,3,2,3.0,0.0,20221106221526
5,Netherlands,Qatar,2,0,3.0,0.0,20221106221526
6,England,Iran,2,1,3.0,0.0,20221106221526
7,USA,Wales,1,0,3.0,0.0,20221106221526
8,Wales,Iran,1,1,1.0,1.0,20221106221526
9,England,USA,2,0,3.0,0.0,20221106221526
10,Iran,USA,0,2,0.0,3.0,20221106221526
11,Wales,England,2,2,1.0,1.0,20221106221526
12,Argentina,Saudi Arabia,3,0,3.0,0.0,20221106221526
13,Mexico,Poland,0,1,0.0,3.0,20221106221526
14,Poland,Saudi Arabia,1,2,0.0,3.0,20221106221526
15,Argentina,Mexico,0,0,1.0,1.0,20221106221526
16,Poland,Argentina,2,2,1.0,1.0,20221106221526
17,Saudi Arabia,Mexico,1,1,1.0,1.0,20221106221526
18,Denmark,Tunisia,2,1,3.0,0.0,20221106221526
19,France,Australia,1,0,3.0,0.0,20221106221526
20,Tunisia,Australia,3,3,1.0,1.0,20221106221526
21,France,Denmark,1,2,0.0,3.0,20221106221526
22,Australia,Denmark,1,1,1.0,1.0,20221106221526
23,Tunisia,France,0,2,0.0,3.0,20221106221526
24,Germany,Japan,2,1,3.0,0.0,20221106221526
25,Spain,Costa Rica,2,0,3.0,0.0,20221106221526
26,Japan,Costa Rica,2,1,3.0,0.0,20221106221526
27,Spain,Germany,1,2,0.0,3.0,20221106221526
28,Costa Rica,Germany,0,2,0.0,3.0,20221106221526
29,Japan,Spain,0,1,0.0,3.0,20221106221526
30,Morocco,Croatia,0,2,0.0,3.0,20221106221526
31,Belgium,Canada,3,1,3.0,0.0,20221106221526
32,Belgium,Morocco,3,3,1.0,1.0,20221106221526
33,Croatia,Canada,1,0,3.0,0.0,20221106221526
34,Canada,Morocco,0,2,0.0,3.0,20221106221526
35,Croatia,Belgium,1,0,3.0,0.0,20221106221526
36,Switzerland,Cameroon,0,2,0.0,3.0,20221106221526
37,Brazil,Serbia,2,1,3.0,0.0,20221106221526
38,Cameroon,Serbia,2,0,3.0,0.0,20221106221526
39,Brazil,Switzerland,3,3,1.0,1.0,20221106221526
40,Cameroon,Brazil,1,2,0.0,3.0,20221106221526
41,Serbia,Switzerland,3,2,3.0,0.0,20221106221526
42,Uruguay,South Korea,2,1,3.0,0.0,20221106221526
43,Portugal,Ghana,3,0,3.0,0.0,20221106221526
44,South Korea,Ghana,1,1,1.0,1.0,20221106221526
45,Portugal,Uruguay,2,4,0.0,3.0,20221106221526
46,Ghana,Uruguay,1,0,3.0,0.0,20221106221526
47,South Korea,Portugal,3,2,3.0,0.0,20221106221526
