,home_team,away_team,home_score,away_score,h_points,a_points,timestamp
0,Qatar,Ecuador,0,2,0.0,3.0,20221106213240
1,Senegal,Netherlands,2,3,0.0,3.0,20221106213240
2,Qatar,Senegal,0,1,0.0,3.0,20221106213240
3,Netherlands,Ecuador,1,0,3.0,0.0,20221106213240
4,Ecuador,Senegal,3,2,3.0,0.0,20221106213240
5,Netherlands,Qatar,1,0,3.0,0.0,20221106213240
6,England,Iran,0,2,0.0,3.0,20221106213240
7,USA,Wales,2,0,3.0,0.0,20221106213240
8,Wales,Iran,0,0,1.0,1.0,20221106213240
9,England,USA,2,0,3.0,0.0,20221106213240
10,Iran,USA,1,1,1.0,1.0,20221106213240
11,Wales,England,0,0,1.0,1.0,20221106213240
12,Argentina,Saudi Arabia,3,0,3.0,0.0,20221106213240
13,Mexico,Poland,2,3,0.0,3.0,20221106213240
14,Poland,Saudi Arabia,1,0,3.0,0.0,20221106213240
15,Argentina,Mexico,0,0,1.0,1.0,20221106213240
16,Poland,Argentina,2,2,1.0,1.0,20221106213240
17,Saudi Arabia,Mexico,1,1,1.0,1.0,20221106213240
18,Denmark,Tunisia,3,3,1.0,1.0,20221106213240
19,France,Australia,1,0,3.0,0.0,20221106213240
20,Tunisia,Australia,3,3,1.0,1.0,20221106213240
21,France,Denmark,2,2,1.0,1.0,20221106213240
22,Australia,Denmark,1,1,1.0,1.0,20221106213240
23,Tunisia,France,0,2,0.0,3.0,20221106213240
24,Germany,Japan,2,1,3.0,0.0,20221106213240
25,Spain,Costa Rica,2,0,3.0,0.0,20221106213240
26,Japan,Costa Rica,2,1,3.0,0.0,20221106213240
27,Spain,Germany,1,2,0.0,3.0,20221106213240
28,Costa Rica,Germany,0,2,0.0,3.0,20221106213240
29,Japan,Spain,0,1,0.0,3.0,20221106213240
30,Morocco,Croatia,0,2,0.0,3.0,20221106213240
31,Belgium,Canada,2,0,3.0,0.0,20221106213240
32,Belgium,Morocco,3,3,1.0,1.0,20221106213240
33,Croatia,Canada,1,0,3.0,0.0,20221106213240
34,Canada,Morocco,0,2,0.0,3.0,20221106213240
35,Croatia,Belgium,1,0,3.0,0.0,20221106213240
36,Switzerland,Cameroon,3,3,1.0,1.0,20221106213240
37,Brazil,Serbia,2,1,3.0,0.0,20221106213240
38,Cameroon,Serbia,1,1,1.0,1.0,20221106213240
39,Brazil,Switzerland,3,3,1.0,1.0,20221106213240
40,Cameroon,Brazil,1,2,0.0,3.0,20221106213240
41,Serbia,Switzerland,3,2,3.0,0.0,20221106213240
42,Uruguay,South Korea,1,0,3.0,0.0,20221106213240
43,Portugal,Ghana,3,0,3.0,0.0,20221106213240
44,South Korea,Ghana,1,1,1.0,1.0,20221106213240
45,Portugal,Uruguay,0,2,0.0,3.0,20221106213240
46,Ghana,Uruguay,0,1,0.0,3.0,20221106213240
47,South Korea,Portugal,3,2,3.0,0.0,20221106213240
