,home_team,away_team,home_score,away_score,h_points,a_points,timestamp
0,Qatar,Ecuador,22,-5,3.0,0.0,20221108204836
1,Senegal,Netherlands,22,-5,3.0,0.0,20221108204836
2,Qatar,Senegal,22,-6,3.0,0.0,20221108204836
3,Netherlands,Ecuador,23,-7,3.0,0.0,20221108204836
4,Ecuador,Senegal,23,-6,3.0,0.0,20221108204836
5,Netherlands,Qatar,24,-7,3.0,0.0,20221108204836
6,England,Iran,24,-8,3.0,0.0,20221108204836
7,USA,Wales,23,-7,3.0,0.0,20221108204836
8,Wales,Iran,23,-7,3.0,0.0,20221108204836
9,England,USA,23,-7,3.0,0.0,20221108204836
10,Iran,USA,22,-6,3.0,0.0,20221108204836
11,Wales,England,22,-6,3.0,0.0,20221108204836
12,Argentina,Saudi Arabia,25,-7,3.0,0.0,20221108204836
13,Mexico,Poland,23,-6,3.0,0.0,20221108204836
14,Poland,Saudi Arabia,24,-7,3.0,0.0,20221108204836
15,Argentina,Mexico,23,-6,3.0,0.0,20221108204836
16,Poland,Argentina,22,-6,3.0,0.0,20221108204836
17,Saudi Arabia,Mexico,22,-5,3.0,0.0,20221108204836
18,Denmark,Tunisia,23,-6,3.0,0.0,20221108204836
19,France,Australia,24,-7,3.0,0.0,20221108204836
20,Tunisia,Australia,23,-6,3.0,0.0,20221108204836
21,France,Denmark,23,-6,3.0,0.0,20221108204836
22,Australia,Denmark,23,-6,3.0,0.0,20221108204836
23,Tunisia,France,22,-6,3.0,0.0,20221108204836
24,Germany,Japan,24,-6,3.0,0.0,20221108204836
25,Spain,Costa Rica,24,-7,3.0,0.0,20221108204836
26,Japan,Costa Rica,24,-6,3.0,0.0,20221108204836
27,Spain,Germany,23,-6,3.0,0.0,20221108204836
28,Costa Rica,Germany,22,-5,3.0,0.0,20221108204836
29,Japan,Spain,23,-6,3.0,0.0,20221108204836
30,Morocco,Croatia,23,-6,3.0,0.0,20221108204836
31,Belgium,Canada,24,-7,3.0,0.0,20221108204836
32,Belgium,Morocco,23,-7,3.0,0.0,20221108204836
33,Croatia,Canada,24,-6,3.0,0.0,20221108204836
34,Canada,Morocco,22,-6,3.0,0.0,20221108204836
35,Croatia,Belgium,23,-6,3.0,0.0,20221108204836
36,Switzerland,Cameroon,24,-7,3.0,0.0,20221108204836
37,Brazil,Serbia,23,-7,3.0,0.0,20221108204836
38,Cameroon,Serbia,22,-6,3.0,0.0,20221108204836
39,Brazil,Switzerland,23,-7,3.0,0.0,20221108204836
40,Cameroon,Brazil,21,-4,3.0,0.0,20221108204836
41,Serbia,Switzerland,23,-6,3.0,0.0,20221108204836
42,Uruguay,South Korea,25,-8,3.0,0.0,20221108204836
43,Portugal,Ghana,24,-7,3.0,0.0,20221108204836
44,South Korea,Ghana,23,-6,3.0,0.0,20221108204836
45,Portugal,Uruguay,23,-6,3.0,0.0,20221108204836
46,Ghana,Uruguay,23,-6,3.0,0.0,20221108204836
47,South Korea,Portugal,22,-5,3.0,0.0,20221108204836
