,home_team,away_team,home_score,away_score,h_points,a_points,timestamp
0,Qatar,Ecuador,0,2,0.0,3.0,20221106213425
1,Senegal,Netherlands,0,2,0.0,3.0,20221106213425
2,Qatar,Senegal,0,0,1.0,1.0,20221106213425
3,Netherlands,Ecuador,0,0,1.0,1.0,20221106213425
4,Ecuador,Senegal,1,2,0.0,3.0,20221106213425
5,Netherlands,Qatar,2,1,3.0,0.0,20221106213425
6,England,Iran,3,3,1.0,1.0,20221106213425
7,USA,Wales,2,2,1.0,1.0,20221106213425
8,Wales,Iran,0,2,0.0,3.0,20221106213425
9,England,USA,2,1,3.0,0.0,20221106213425
10,Iran,USA,1,1,1.0,1.0,20221106213425
11,Wales,England,2,2,1.0,1.0,20221106213425
12,Argentina,Saudi Arabia,2,1,3.0,0.0,20221106213425
13,Mexico,Poland,1,1,1.0,1.0,20221106213425
14,Poland,Saudi Arabia,4,0,3.0,0.0,20221106213425
15,Argentina,Mexico,0,0,1.0,1.0,20221106213425
16,Poland,Argentina,1,2,0.0,3.0,20221106213425
17,Saudi Arabia,Mexico,1,1,1.0,1.0,20221106213425
18,Denmark,Tunisia,3,3,1.0,1.0,20221106213425
19,France,Australia,5,1,3.0,0.0,20221106213425
20,Tunisia,Australia,1,2,0.0,3.0,20221106213425
21,France,Denmark,2,2,1.0,1.0,20221106213425
22,Australia,Denmark,0,0,1.0,1.0,20221106213425
23,Tunisia,France,0,3,0.0,3.0,20221106213425
24,Germany,Japan,3,3,1.0,1.0,20221106213425
25,Spain,Costa Rica,1,0,3.0,0.0,20221106213425
26,Japan,Costa Rica,2,1,3.0,0.0,20221106213425
27,Spain,Germany,1,1,1.0,1.0,20221106213425
28,Costa Rica,Germany,1,3,0.0,3.0,20221106213425
29,Japan,Spain,0,1,0.0,3.0,20221106213425
30,Morocco,Croatia,0,2,0.0,3.0,20221106213425
31,Belgium,Canada,1,0,3.0,0.0,20221106213425
32,Belgium,Morocco,2,0,3.0,0.0,20221106213425
33,Croatia,Canada,2,0,3.0,0.0,20221106213425
34,Canada,Morocco,0,2,0.0,3.0,20221106213425
35,Croatia,Belgium,1,0,3.0,0.0,20221106213425
36,Switzerland,Cameroon,2,1,3.0,0.0,20221106213425
37,Brazil,Serbia,0,2,0.0,3.0,20221106213425
38,Cameroon,Serbia,1,3,0.0,3.0,20221106213425
39,Brazil,Switzerland,0,2,0.0,3.0,20221106213425
40,Cameroon,Brazil,1,2,0.0,3.0,20221106213425
41,Serbia,Switzerland,1,2,0.0,3.0,20221106213425
42,Uruguay,South Korea,0,2,0.0,3.0,20221106213425
43,Portugal,Ghana,5,1,3.0,0.0,20221106213425
44,South Korea,Ghana,1,2,0.0,3.0,20221106213425
45,Portugal,Uruguay,0,1,0.0,3.0,20221106213425
46,Ghana,Uruguay,0,2,0.0,3.0,20221106213425
47,South Korea,Portugal,3,2,3.0,0.0,20221106213425
