,home_team,away_team,home_score,away_score,h_points,a_points,timestamp
0,Qatar,Ecuador,0,2,0.0,3.0,20221106220927
1,Senegal,Netherlands,2,1,3.0,0.0,20221106220927
2,Qatar,Senegal,0,1,0.0,3.0,20221106220927
3,Netherlands,Ecuador,3,2,3.0,0.0,20221106220927
4,Ecuador,Senegal,1,2,0.0,3.0,20221106220927
5,Netherlands,Qatar,2,0,3.0,0.0,20221106220927
6,England,Iran,2,1,3.0,0.0,20221106220927
7,USA,Wales,3,1,3.0,0.0,20221106220927
8,Wales,Iran,3,2,3.0,0.0,20221106220927
9,England,USA,0,0,1.0,1.0,20221106220927
10,Iran,USA,0,2,0.0,3.0,20221106220927
11,Wales,England,2,2,1.0,1.0,20221106220927
12,Argentina,Saudi Arabia,2,1,3.0,0.0,20221106220927
13,Mexico,Poland,1,2,0.0,3.0,20221106220927
14,Poland,Saudi Arabia,1,0,3.0,0.0,20221106220927
15,Argentina,Mexico,0,0,1.0,1.0,20221106220927
16,Poland,Argentina,2,2,1.0,1.0,20221106220927
17,Saudi Arabia,Mexico,1,1,1.0,1.0,20221106220927
18,Denmark,Tunisia,3,0,3.0,0.0,20221106220927
19,France,Australia,3,0,3.0,0.0,20221106220927
20,Tunisia,Australia,3,3,1.0,1.0,20221106220927
21,France,Denmark,1,1,1.0,1.0,20221106220927
22,Australia,Denmark,0,2,0.0,3.0,20221106220927
23,Tunisia,France,0,2,0.0,3.0,20221106220927
24,Germany,Japan,2,1,3.0,0.0,20221106220927
25,Spain,Costa Rica,2,0,3.0,0.0,20221106220927
26,Japan,Costa Rica,2,1,3.0,0.0,20221106220927
27,Spain,Germany,1,1,1.0,1.0,20221106220927
28,Costa Rica,Germany,0,1,0.0,3.0,20221106220927
29,Japan,Spain,0,1,0.0,3.0,20221106220927
30,Morocco,Croatia,0,2,0.0,3.0,20221106220927
31,Belgium,Canada,3,2,3.0,0.0,20221106220927
32,Belgium,Morocco,2,0,3.0,0.0,20221106220927
33,Croatia,Canada,1,0,3.0,0.0,20221106220927
34,Canada,Morocco,0,2,0.0,3.0,20221106220927
35,Croatia,Belgium,1,0,3.0,0.0,20221106220927
36,Switzerland,Cameroon,3,3,1.0,1.0,20221106220927
37,Brazil,Serbia,2,1,3.0,0.0,20221106220927
38,Cameroon,Serbia,0,1,0.0,3.0,20221106220927
39,Brazil,Switzerland,3,3,1.0,1.0,20221106220927
40,Cameroon,Brazil,1,2,0.0,3.0,20221106220927
41,Serbia,Switzerland,3,2,3.0,0.0,20221106220927
42,Uruguay,South Korea,3,3,1.0,1.0,20221106220927
43,Portugal,Ghana,3,1,3.0,0.0,20221106220927
44,South Korea,Ghana,0,0,1.0,1.0,20221106220927
45,Portugal,Uruguay,1,1,1.0,1.0,20221106220927
46,Ghana,Uruguay,0,2,0.0,3.0,20221106220927
47,South Korea,Portugal,3,2,3.0,0.0,20221106220927
