,home_team,away_team,home_score,away_score,h_points,a_points,timestamp
0,Qatar,Ecuador,0,2,0.0,3.0,20221106220120
1,Senegal,Netherlands,0,2,0.0,3.0,20221106220120
2,Qatar,Senegal,0,2,0.0,3.0,20221106220120
3,Netherlands,Ecuador,2,1,3.0,0.0,20221106220120
4,Ecuador,Senegal,1,2,0.0,3.0,20221106220120
5,Netherlands,Qatar,5,0,3.0,0.0,20221106220120
6,England,Iran,3,3,1.0,1.0,20221106220120
7,USA,Wales,1,1,1.0,1.0,20221106220120
8,Wales,Iran,0,2,0.0,3.0,20221106220120
9,England,USA,3,2,3.0,0.0,20221106220120
10,Iran,USA,0,2,0.0,3.0,20221106220120
11,Wales,England,2,2,1.0,1.0,20221106220120
12,Argentina,Saudi Arabia,2,1,3.0,0.0,20221106220120
13,Mexico,Poland,1,2,0.0,3.0,20221106220120
14,Poland,Saudi Arabia,2,2,1.0,1.0,20221106220120
15,Argentina,Mexico,0,0,1.0,1.0,20221106220120
16,Poland,Argentina,2,2,1.0,1.0,20221106220120
17,Saudi Arabia,Mexico,1,1,1.0,1.0,20221106220120
18,Denmark,Tunisia,3,0,3.0,0.0,20221106220120
19,France,Australia,2,0,3.0,0.0,20221106220120
20,Tunisia,Australia,1,2,0.0,3.0,20221106220120
21,France,Denmark,1,1,1.0,1.0,20221106220120
22,Australia,Denmark,0,2,0.0,3.0,20221106220120
23,Tunisia,France,0,3,0.0,3.0,20221106220120
24,Germany,Japan,2,1,3.0,0.0,20221106220120
25,Spain,Costa Rica,1,0,3.0,0.0,20221106220120
26,Japan,Costa Rica,2,1,3.0,0.0,20221106220120
27,Spain,Germany,1,1,1.0,1.0,20221106220120
28,Costa Rica,Germany,1,3,0.0,3.0,20221106220120
29,Japan,Spain,0,1,0.0,3.0,20221106220120
30,Morocco,Croatia,0,2,0.0,3.0,20221106220120
31,Belgium,Canada,1,0,3.0,0.0,20221106220120
32,Belgium,Morocco,2,0,3.0,0.0,20221106220120
33,Croatia,Canada,1,0,3.0,0.0,20221106220120
34,Canada,Morocco,0,2,0.0,3.0,20221106220120
35,Croatia,Belgium,1,0,3.0,0.0,20221106220120
36,Switzerland,Cameroon,3,3,1.0,1.0,20221106220120
37,Brazil,Serbia,0,2,0.0,3.0,20221106220120
38,Cameroon,Serbia,1,3,0.0,3.0,20221106220120
39,Brazil,Switzerland,0,2,0.0,3.0,20221106220120
40,Cameroon,Brazil,1,2,0.0,3.0,20221106220120
41,Serbia,Switzerland,3,2,3.0,0.0,20221106220120
42,Uruguay,South Korea,1,2,0.0,3.0,20221106220120
43,Portugal,Ghana,5,1,3.0,0.0,20221106220120
44,South Korea,Ghana,0,0,1.0,1.0,20221106220120
45,Portugal,Uruguay,0,1,0.0,3.0,20221106220120
46,Ghana,Uruguay,0,2,0.0,3.0,20221106220120
47,South Korea,Portugal,3,2,3.0,0.0,20221106220120
