,home_team,away_team,home_score,away_score,h_points,a_points,timestamp
0,Qatar,Ecuador,1,2,0.0,3.0,20221108205231
1,Senegal,Netherlands,1,1,1.0,1.0,20221108205231
2,Qatar,Senegal,1,1,1.0,1.0,20221108205231
3,Netherlands,Ecuador,2,0,3.0,0.0,20221108205231
4,Ecuador,Senegal,0,1,0.0,3.0,20221108205231
5,Netherlands,Qatar,2,0,3.0,0.0,20221108205231
6,England,Iran,2,0,3.0,0.0,20221108205231
7,USA,Wales,1,1,1.0,1.0,20221108205231
8,Wales,Iran,2,1,3.0,0.0,20221108205231
9,England,USA,0,1,0.0,3.0,20221108205231
10,Iran,USA,1,1,1.0,1.0,20221108205231
11,Wales,England,0,1,0.0,3.0,20221108205231
12,Argentina,Saudi Arabia,2,0,3.0,0.0,20221108205231
13,Mexico,Poland,1,0,3.0,0.0,20221108205231
14,Poland,Saudi Arabia,3,0,3.0,0.0,20221108205231
15,Argentina,Mexico,1,0,3.0,0.0,20221108205231
16,Poland,Argentina,1,1,1.0,1.0,20221108205231
17,Saudi Arabia,Mexico,0,1,0.0,3.0,20221108205231
18,Denmark,Tunisia,1,0,3.0,0.0,20221108205231
19,France,Australia,1,0,3.0,0.0,20221108205231
20,Tunisia,Australia,0,1,0.0,3.0,20221108205231
21,France,Denmark,0,1,0.0,3.0,20221108205231
22,Australia,Denmark,0,1,0.0,3.0,20221108205231
23,Tunisia,France,1,2,0.0,3.0,20221108205231
24,Germany,Japan,2,0,3.0,0.0,20221108205231
25,Spain,Costa Rica,2,0,3.0,0.0,20221108205231
26,Japan,Costa Rica,1,1,1.0,1.0,20221108205231
27,Spain,Germany,1,1,1.0,1.0,20221108205231
28,Costa Rica,Germany,1,2,0.0,3.0,20221108205231
29,Japan,Spain,1,1,1.0,1.0,20221108205231
30,Morocco,Croatia,1,1,1.0,1.0,20221108205231
31,Belgium,Canada,2,0,3.0,0.0,20221108205231
32,Belgium,Morocco,1,1,1.0,1.0,20221108205231
33,Croatia,Canada,1,1,1.0,1.0,20221108205231
34,Canada,Morocco,1,1,1.0,1.0,20221108205231
35,Croatia,Belgium,1,1,1.0,1.0,20221108205231
36,Switzerland,Cameroon,1,0,3.0,0.0,20221108205231
37,Brazil,Serbia,2,0,3.0,0.0,20221108205231
38,Cameroon,Serbia,1,1,1.0,1.0,20221108205231
39,Brazil,Switzerland,1,0,3.0,0.0,20221108205231
40,Cameroon,Brazil,0,2,0.0,3.0,20221108205231
41,Serbia,Switzerland,1,1,1.0,1.0,20221108205231
42,Uruguay,South Korea,1,0,3.0,0.0,20221108205231
43,Portugal,Ghana,2,0,3.0,0.0,20221108205231
44,South Korea,Ghana,1,1,1.0,1.0,20221108205231
45,Portugal,Uruguay,1,1,1.0,1.0,20221108205231
46,Ghana,Uruguay,0,1,0.0,3.0,20221108205231
47,South Korea,Portugal,0,1,0.0,3.0,20221108205231
