,home_team,away_team,home_score,away_score,h_points,a_points,timestamp
0,Qatar,Ecuador,0,2,0.0,3.0,20221106212134
1,Senegal,Netherlands,2,1,3.0,0.0,20221106212134
2,Qatar,Senegal,0,1,0.0,3.0,20221106212134
3,Netherlands,Ecuador,2,1,3.0,0.0,20221106212134
4,Ecuador,Senegal,1,2,0.0,3.0,20221106212134
5,Netherlands,Qatar,2,0,3.0,0.0,20221106212134
6,England,Iran,2,1,3.0,0.0,20221106212134
7,USA,Wales,2,1,3.0,0.0,20221106212134
8,Wales,Iran,3,2,3.0,0.0,20221106212134
9,England,USA,0,0,1.0,1.0,20221106212134
10,Iran,USA,0,2,0.0,3.0,20221106212134
11,Wales,England,2,2,1.0,1.0,20221106212134
12,Argentina,Saudi Arabia,2,1,3.0,0.0,20221106212134
13,Mexico,Poland,1,2,0.0,3.0,20221106212134
14,Poland,Saudi Arabia,1,0,3.0,0.0,20221106212134
15,Argentina,Mexico,0,0,1.0,1.0,20221106212134
16,Poland,Argentina,2,2,1.0,1.0,20221106212134
17,Saudi Arabia,Mexico,1,1,1.0,1.0,20221106212134
18,Denmark,Tunisia,2,1,3.0,0.0,20221106212134
19,France,Australia,3,0,3.0,0.0,20221106212134
20,Tunisia,Australia,3,3,1.0,1.0,20221106212134
21,France,Denmark,1,1,1.0,1.0,20221106212134
22,Australia,Denmark,0,2,0.0,3.0,20221106212134
23,Tunisia,France,0,2,0.0,3.0,20221106212134
24,Germany,Japan,2,1,3.0,0.0,20221106212134
25,Spain,Costa Rica,2,0,3.0,0.0,20221106212134
26,Japan,Costa Rica,2,1,3.0,0.0,20221106212134
27,Spain,Germany,1,1,1.0,1.0,20221106212134
28,Costa Rica,Germany,0,1,0.0,3.0,20221106212134
29,Japan,Spain,0,1,0.0,3.0,20221106212134
30,Morocco,Croatia,0,2,0.0,3.0,20221106212134
31,Belgium,Canada,1,0,3.0,0.0,20221106212134
32,Belgium,Morocco,2,0,3.0,0.0,20221106212134
33,Croatia,Canada,1,0,3.0,0.0,20221106212134
34,Canada,Morocco,0,2,0.0,3.0,20221106212134
35,Croatia,Belgium,1,0,3.0,0.0,20221106212134
36,Switzerland,Cameroon,0,1,0.0,3.0,20221106212134
37,Brazil,Serbia,0,2,0.0,3.0,20221106212134
38,Cameroon,Serbia,0,1,0.0,3.0,20221106212134
39,Brazil,Switzerland,3,4,0.0,3.0,20221106212134
40,Cameroon,Brazil,1,2,0.0,3.0,20221106212134
41,Serbia,Switzerland,3,2,3.0,0.0,20221106212134
42,Uruguay,South Korea,2,1,3.0,0.0,20221106212134
43,Portugal,Ghana,3,1,3.0,0.0,20221106212134
44,South Korea,Ghana,0,0,1.0,1.0,20221106212134
45,Portugal,Uruguay,1,3,0.0,3.0,20221106212134
46,Ghana,Uruguay,0,2,0.0,3.0,20221106212134
47,South Korea,Portugal,3,2,3.0,0.0,20221106212134
