,home_team,away_team,home_score,away_score,h_points,a_points,timestamp
0,Qatar,Ecuador,0,2,0.0,3.0,20221107203356
1,Senegal,Netherlands,2,3,0.0,3.0,20221107203356
2,Qatar,Senegal,1,3,0.0,3.0,20221107203356
3,Netherlands,Ecuador,2,1,3.0,0.0,20221107203356
4,Ecuador,Senegal,3,2,3.0,0.0,20221107203356
5,Netherlands,Qatar,0,1,0.0,3.0,20221107203356
6,England,Iran,3,0,3.0,0.0,20221107203356
7,USA,Wales,3,1,3.0,0.0,20221107203356
8,Wales,Iran,0,1,0.0,3.0,20221107203356
9,England,USA,1,0,3.0,0.0,20221107203356
10,Iran,USA,1,1,1.0,1.0,20221107203356
11,Wales,England,0,0,1.0,1.0,20221107203356
12,Argentina,Saudi Arabia,2,1,3.0,0.0,20221107203356
13,Mexico,Poland,0,2,0.0,3.0,20221107203356
14,Poland,Saudi Arabia,3,2,3.0,0.0,20221107203356
15,Argentina,Mexico,0,0,1.0,1.0,20221107203356
16,Poland,Argentina,0,0,1.0,1.0,20221107203356
17,Saudi Arabia,Mexico,1,1,1.0,1.0,20221107203356
18,Denmark,Tunisia,0,0,1.0,1.0,20221107203356
19,France,Australia,2,1,3.0,0.0,20221107203356
20,Tunisia,Australia,3,3,1.0,1.0,20221107203356
21,France,Denmark,0,2,0.0,3.0,20221107203356
22,Australia,Denmark,1,1,1.0,1.0,20221107203356
23,Tunisia,France,1,3,0.0,3.0,20221107203356
24,Germany,Japan,3,3,1.0,1.0,20221107203356
25,Spain,Costa Rica,2,0,3.0,0.0,20221107203356
26,Japan,Costa Rica,0,0,1.0,1.0,20221107203356
27,Spain,Germany,2,2,1.0,1.0,20221107203356
28,Costa Rica,Germany,0,2,0.0,3.0,20221107203356
29,Japan,Spain,0,1,0.0,3.0,20221107203356
30,Morocco,Croatia,0,2,0.0,3.0,20221107203356
31,Belgium,Canada,2,0,3.0,0.0,20221107203356
32,Belgium,Morocco,3,3,1.0,1.0,20221107203356
33,Croatia,Canada,4,1,3.0,0.0,20221107203356
34,Canada,Morocco,0,2,0.0,3.0,20221107203356
35,Croatia,Belgium,1,0,3.0,0.0,20221107203356
36,Switzerland,Cameroon,2,1,3.0,0.0,20221107203356
37,Brazil,Serbia,2,1,3.0,0.0,20221107203356
38,Cameroon,Serbia,0,3,0.0,3.0,20221107203356
39,Brazil,Switzerland,3,3,1.0,1.0,20221107203356
40,Cameroon,Brazil,1,2,0.0,3.0,20221107203356
41,Serbia,Switzerland,3,2,3.0,0.0,20221107203356
42,Uruguay,South Korea,3,0,3.0,0.0,20221107203356
43,Portugal,Ghana,3,0,3.0,0.0,20221107203356
44,South Korea,Ghana,1,1,1.0,1.0,20221107203356
45,Portugal,Uruguay,0,2,0.0,3.0,20221107203356
46,Ghana,Uruguay,0,1,0.0,3.0,20221107203356
47,South Korea,Portugal,3,2,3.0,0.0,20221107203356
