,home_team,away_team,home_score,away_score,h_points,a_points,timestamp
0,Qatar,Ecuador,0,2,0.0,3.0,20221106213225
1,Senegal,Netherlands,2,3,0.0,3.0,20221106213225
2,Qatar,Senegal,0,1,0.0,3.0,20221106213225
3,Netherlands,Ecuador,1,0,3.0,0.0,20221106213225
4,Ecuador,Senegal,3,2,3.0,0.0,20221106213225
5,Netherlands,Qatar,2,0,3.0,0.0,20221106213225
6,England,Iran,3,1,3.0,0.0,20221106213225
7,USA,Wales,1,1,1.0,1.0,20221106213225
8,Wales,Iran,3,1,3.0,0.0,20221106213225
9,England,USA,2,0,3.0,0.0,20221106213225
10,Iran,USA,1,1,1.0,1.0,20221106213225
11,Wales,England,0,0,1.0,1.0,20221106213225
12,Argentina,Saudi Arabia,3,0,3.0,0.0,20221106213225
13,Mexico,Poland,2,3,0.0,3.0,20221106213225
14,Poland,Saudi Arabia,1,0,3.0,0.0,20221106213225
15,Argentina,Mexico,0,0,1.0,1.0,20221106213225
16,Poland,Argentina,2,2,1.0,1.0,20221106213225
17,Saudi Arabia,Mexico,1,1,1.0,1.0,20221106213225
18,Denmark,Tunisia,2,1,3.0,0.0,20221106213225
19,France,Australia,1,0,3.0,0.0,20221106213225
20,Tunisia,Australia,3,3,1.0,1.0,20221106213225
21,France,Denmark,1,2,0.0,3.0,20221106213225
22,Australia,Denmark,1,1,1.0,1.0,20221106213225
23,Tunisia,France,0,2,0.0,3.0,20221106213225
24,Germany,Japan,2,1,3.0,0.0,20221106213225
25,Spain,Costa Rica,2,0,3.0,0.0,20221106213225
26,Japan,Costa Rica,2,1,3.0,0.0,20221106213225
27,Spain,Germany,1,2,0.0,3.0,20221106213225
28,Costa Rica,Germany,0,2,0.0,3.0,20221106213225
29,Japan,Spain,0,1,0.0,3.0,20221106213225
30,Morocco,Croatia,0,2,0.0,3.0,20221106213225
31,Belgium,Canada,2,0,3.0,0.0,20221106213225
32,Belgium,Morocco,3,3,1.0,1.0,20221106213225
33,Croatia,Canada,1,0,3.0,0.0,20221106213225
34,Canada,Morocco,0,2,0.0,3.0,20221106213225
35,Croatia,Belgium,1,0,3.0,0.0,20221106213225
36,Switzerland,Cameroon,3,0,3.0,0.0,20221106213225
37,Brazil,Serbia,2,1,3.0,0.0,20221106213225
38,Cameroon,Serbia,2,0,3.0,0.0,20221106213225
39,Brazil,Switzerland,3,3,1.0,1.0,20221106213225
40,Cameroon,Brazil,1,2,0.0,3.0,20221106213225
41,Serbia,Switzerland,3,2,3.0,0.0,20221106213225
42,Uruguay,South Korea,3,0,3.0,0.0,20221106213225
43,Portugal,Ghana,3,0,3.0,0.0,20221106213225
44,South Korea,Ghana,1,1,1.0,1.0,20221106213225
45,Portugal,Uruguay,0,2,0.0,3.0,20221106213225
46,Ghana,Uruguay,0,1,0.0,3.0,20221106213225
47,South Korea,Portugal,3,2,3.0,0.0,20221106213225
