,home_team,away_team,home_score,away_score,h_points,a_points,timestamp
0,Qatar,Ecuador,22,-5,3.0,0.0,20221108204139
1,Senegal,Netherlands,22,-5,3.0,0.0,20221108204139
2,Qatar,Senegal,22,-6,3.0,0.0,20221108204139
3,Netherlands,Ecuador,23,-7,3.0,0.0,20221108204139
4,Ecuador,Senegal,23,-6,3.0,0.0,20221108204139
5,Netherlands,Qatar,24,-7,3.0,0.0,20221108204139
6,England,Iran,25,-9,3.0,0.0,20221108204139
7,USA,Wales,23,-7,3.0,0.0,20221108204139
8,Wales,Iran,23,-8,3.0,0.0,20221108204139
9,England,USA,23,-7,3.0,0.0,20221108204139
10,Iran,USA,22,-5,3.0,0.0,20221108204139
11,Wales,England,22,-6,3.0,0.0,20221108204139
12,Argentina,Saudi Arabia,26,-7,3.0,0.0,20221108204139
13,Mexico,Poland,23,-6,3.0,0.0,20221108204139
14,Poland,Saudi Arabia,24,-7,3.0,0.0,20221108204139
15,Argentina,Mexico,24,-6,3.0,0.0,20221108204139
16,Poland,Argentina,22,-6,3.0,0.0,20221108204139
17,Saudi Arabia,Mexico,22,-5,3.0,0.0,20221108204139
18,Denmark,Tunisia,23,-6,3.0,0.0,20221108204139
19,France,Australia,24,-7,3.0,0.0,20221108204139
20,Tunisia,Australia,23,-6,3.0,0.0,20221108204139
21,France,Denmark,23,-6,3.0,0.0,20221108204139
22,Australia,Denmark,23,-6,3.0,0.0,20221108204139
23,Tunisia,France,22,-5,3.0,0.0,20221108204139
24,Germany,Japan,24,-6,3.0,0.0,20221108204139
25,Spain,Costa Rica,24,-7,3.0,0.0,20221108204139
26,Japan,Costa Rica,24,-6,3.0,0.0,20221108204139
27,Spain,Germany,23,-6,3.0,0.0,20221108204139
28,Costa Rica,Germany,22,-5,3.0,0.0,20221108204139
29,Japan,Spain,23,-6,3.0,0.0,20221108204139
30,Morocco,Croatia,23,-6,3.0,0.0,20221108204139
31,Belgium,Canada,24,-7,3.0,0.0,20221108204139
32,Belgium,Morocco,23,-7,3.0,0.0,20221108204139
33,Croatia,Canada,24,-6,3.0,0.0,20221108204139
34,Canada,Morocco,22,-6,3.0,0.0,20221108204139
35,Croatia,Belgium,23,-6,3.0,0.0,20221108204139
36,Switzerland,Cameroon,23,-7,3.0,0.0,20221108204139
37,Brazil,Serbia,23,-7,3.0,0.0,20221108204139
38,Cameroon,Serbia,22,-6,3.0,0.0,20221108204139
39,Brazil,Switzerland,23,-7,3.0,0.0,20221108204139
40,Cameroon,Brazil,21,-4,3.0,0.0,20221108204139
41,Serbia,Switzerland,23,-6,3.0,0.0,20221108204139
42,Uruguay,South Korea,25,-7,3.0,0.0,20221108204139
43,Portugal,Ghana,24,-7,3.0,0.0,20221108204139
44,South Korea,Ghana,23,-6,3.0,0.0,20221108204139
45,Portugal,Uruguay,23,-6,3.0,0.0,20221108204139
46,Ghana,Uruguay,23,-5,3.0,0.0,20221108204139
47,South Korea,Portugal,22,-5,3.0,0.0,20221108204139
