,home_team,away_team,home_score,away_score,h_points,a_points,timestamp
0,Qatar,Ecuador,1,1,1.0,1.0,20221108205042
1,Senegal,Netherlands,1,1,1.0,1.0,20221108205042
2,Qatar,Senegal,1,1,1.0,1.0,20221108205042
3,Netherlands,Ecuador,2,0,3.0,0.0,20221108205042
4,Ecuador,Senegal,0,1,0.0,3.0,20221108205042
5,Netherlands,Qatar,2,0,3.0,0.0,20221108205042
6,England,Iran,2,0,3.0,0.0,20221108205042
7,USA,Wales,1,1,1.0,1.0,20221108205042
8,Wales,Iran,2,1,3.0,0.0,20221108205042
9,England,USA,0,1,0.0,3.0,20221108205042
10,Iran,USA,1,1,1.0,1.0,20221108205042
11,Wales,England,0,1,0.0,3.0,20221108205042
12,Argentina,Saudi Arabia,3,0,3.0,0.0,20221108205042
13,Mexico,Poland,1,1,1.0,1.0,20221108205042
14,Poland,Saudi Arabia,3,0,3.0,0.0,20221108205042
15,Argentina,Mexico,1,0,3.0,0.0,20221108205042
16,Poland,Argentina,1,1,1.0,1.0,20221108205042
17,Saudi Arabia,Mexico,0,1,0.0,3.0,20221108205042
18,Denmark,Tunisia,3,0,3.0,0.0,20221108205042
19,France,Australia,1,0,3.0,0.0,20221108205042
20,Tunisia,Australia,0,1,0.0,3.0,20221108205042
21,France,Denmark,0,1,0.0,3.0,20221108205042
22,Australia,Denmark,0,1,0.0,3.0,20221108205042
23,Tunisia,France,1,2,0.0,3.0,20221108205042
24,Germany,Japan,2,0,3.0,0.0,20221108205042
25,Spain,Costa Rica,2,0,3.0,0.0,20221108205042
26,Japan,Costa Rica,1,1,1.0,1.0,20221108205042
27,Spain,Germany,1,1,1.0,1.0,20221108205042
28,Costa Rica,Germany,1,2,0.0,3.0,20221108205042
29,Japan,Spain,1,1,1.0,1.0,20221108205042
30,Morocco,Croatia,1,0,3.0,0.0,20221108205042
31,Belgium,Canada,2,0,3.0,0.0,20221108205042
32,Belgium,Morocco,1,1,1.0,1.0,20221108205042
33,Croatia,Canada,1,1,1.0,1.0,20221108205042
34,Canada,Morocco,1,1,1.0,1.0,20221108205042
35,Croatia,Belgium,1,1,1.0,1.0,20221108205042
36,Switzerland,Cameroon,1,0,3.0,0.0,20221108205042
37,Brazil,Serbia,2,0,3.0,0.0,20221108205042
38,Cameroon,Serbia,1,1,1.0,1.0,20221108205042
39,Brazil,Switzerland,1,0,3.0,0.0,20221108205042
40,Cameroon,Brazil,0,2,0.0,3.0,20221108205042
41,Serbia,Switzerland,1,1,1.0,1.0,20221108205042
42,Uruguay,South Korea,2,1,3.0,0.0,20221108205042
43,Portugal,Ghana,2,0,3.0,0.0,20221108205042
44,South Korea,Ghana,1,1,1.0,1.0,20221108205042
45,Portugal,Uruguay,1,1,1.0,1.0,20221108205042
46,Ghana,Uruguay,0,1,0.0,3.0,20221108205042
47,South Korea,Portugal,0,1,0.0,3.0,20221108205042
