,home_team,away_team,home_score,away_score,h_points,a_points,timestamp
0,Qatar,Ecuador,0,2,0.0,3.0,20221106214325
1,Senegal,Netherlands,2,3,0.0,3.0,20221106214325
2,Qatar,Senegal,0,1,0.0,3.0,20221106214325
3,Netherlands,Ecuador,3,2,3.0,0.0,20221106214325
4,Ecuador,Senegal,2,3,0.0,3.0,20221106214325
5,Netherlands,Qatar,2,0,3.0,0.0,20221106214325
6,England,Iran,3,0,3.0,0.0,20221106214325
7,USA,Wales,3,1,3.0,0.0,20221106214325
8,Wales,Iran,3,2,3.0,0.0,20221106214325
9,England,USA,0,0,1.0,1.0,20221106214325
10,Iran,USA,0,2,0.0,3.0,20221106214325
11,Wales,England,2,2,1.0,1.0,20221106214325
12,Argentina,Saudi Arabia,1,0,3.0,0.0,20221106214325
13,Mexico,Poland,4,2,3.0,0.0,20221106214325
14,Poland,Saudi Arabia,1,0,3.0,0.0,20221106214325
15,Argentina,Mexico,0,0,1.0,1.0,20221106214325
16,Poland,Argentina,2,2,1.0,1.0,20221106214325
17,Saudi Arabia,Mexico,1,1,1.0,1.0,20221106214325
18,Denmark,Tunisia,2,1,3.0,0.0,20221106214325
19,France,Australia,3,0,3.0,0.0,20221106214325
20,Tunisia,Australia,3,3,1.0,1.0,20221106214325
21,France,Denmark,1,1,1.0,1.0,20221106214325
22,Australia,Denmark,0,2,0.0,3.0,20221106214325
23,Tunisia,France,0,2,0.0,3.0,20221106214325
24,Germany,Japan,2,1,3.0,0.0,20221106214325
25,Spain,Costa Rica,2,0,3.0,0.0,20221106214325
26,Japan,Costa Rica,2,1,3.0,0.0,20221106214325
27,Spain,Germany,1,1,1.0,1.0,20221106214325
28,Costa Rica,Germany,0,1,0.0,3.0,20221106214325
29,Japan,Spain,0,1,0.0,3.0,20221106214325
30,Morocco,Croatia,0,2,0.0,3.0,20221106214325
31,Belgium,Canada,3,2,3.0,0.0,20221106214325
32,Belgium,Morocco,3,4,0.0,3.0,20221106214325
33,Croatia,Canada,1,0,3.0,0.0,20221106214325
34,Canada,Morocco,0,2,0.0,3.0,20221106214325
35,Croatia,Belgium,1,0,3.0,0.0,20221106214325
36,Switzerland,Cameroon,0,2,0.0,3.0,20221106214325
37,Brazil,Serbia,2,1,3.0,0.0,20221106214325
38,Cameroon,Serbia,0,1,0.0,3.0,20221106214325
39,Brazil,Switzerland,3,3,1.0,1.0,20221106214325
40,Cameroon,Brazil,1,2,0.0,3.0,20221106214325
41,Serbia,Switzerland,3,2,3.0,0.0,20221106214325
42,Uruguay,South Korea,2,1,3.0,0.0,20221106214325
43,Portugal,Ghana,3,1,3.0,0.0,20221106214325
44,South Korea,Ghana,0,0,1.0,1.0,20221106214325
45,Portugal,Uruguay,1,1,1.0,1.0,20221106214325
46,Ghana,Uruguay,0,2,0.0,3.0,20221106214325
47,South Korea,Portugal,3,2,3.0,0.0,20221106214325
