,home_team,away_team,home_score,away_score,h_points,a_points,timestamp
0,Qatar,Ecuador,22,-5,3.0,0.0,20221108204811
1,Senegal,Netherlands,22,-5,3.0,0.0,20221108204811
2,Qatar,Senegal,22,-6,3.0,0.0,20221108204811
3,Netherlands,Ecuador,23,-7,3.0,0.0,20221108204811
4,Ecuador,Senegal,23,-6,3.0,0.0,20221108204811
5,Netherlands,Qatar,24,-7,3.0,0.0,20221108204811
6,England,Iran,25,-9,3.0,0.0,20221108204811
7,USA,Wales,23,-7,3.0,0.0,20221108204811
8,Wales,Iran,23,-8,3.0,0.0,20221108204811
9,England,USA,23,-7,3.0,0.0,20221108204811
10,Iran,USA,22,-6,3.0,0.0,20221108204811
11,Wales,England,22,-6,3.0,0.0,20221108204811
12,Argentina,Saudi Arabia,25,-7,3.0,0.0,20221108204811
13,Mexico,Poland,23,-6,3.0,0.0,20221108204811
14,Poland,Saudi Arabia,24,-7,3.0,0.0,20221108204811
15,Argentina,Mexico,23,-6,3.0,0.0,20221108204811
16,Poland,Argentina,22,-6,3.0,0.0,20221108204811
17,Saudi Arabia,Mexico,22,-5,3.0,0.0,20221108204811
18,Denmark,Tunisia,23,-6,3.0,0.0,20221108204811
19,France,Australia,24,-7,3.0,0.0,20221108204811
20,Tunisia,Australia,23,-6,3.0,0.0,20221108204811
21,France,Denmark,23,-6,3.0,0.0,20221108204811
22,Australia,Denmark,23,-6,3.0,0.0,20221108204811
23,Tunisia,France,22,-6,3.0,0.0,20221108204811
24,Germany,Japan,24,-6,3.0,0.0,20221108204811
25,Spain,Costa Rica,24,-7,3.0,0.0,20221108204811
26,Japan,Costa Rica,24,-6,3.0,0.0,20221108204811
27,Spain,Germany,23,-6,3.0,0.0,20221108204811
28,Costa Rica,Germany,22,-5,3.0,0.0,20221108204811
29,Japan,Spain,23,-6,3.0,0.0,20221108204811
30,Morocco,Croatia,23,-6,3.0,0.0,20221108204811
31,Belgium,Canada,24,-7,3.0,0.0,20221108204811
32,Belgium,Morocco,23,-7,3.0,0.0,20221108204811
33,Croatia,Canada,24,-6,3.0,0.0,20221108204811
34,Canada,Morocco,22,-6,3.0,0.0,20221108204811
35,Croatia,Belgium,23,-6,3.0,0.0,20221108204811
36,Switzerland,Cameroon,23,-7,3.0,0.0,20221108204811
37,Brazil,Serbia,23,-7,3.0,0.0,20221108204811
38,Cameroon,Serbia,22,-6,3.0,0.0,20221108204811
39,Brazil,Switzerland,23,-7,3.0,0.0,20221108204811
40,Cameroon,Brazil,21,-4,3.0,0.0,20221108204811
41,Serbia,Switzerland,23,-6,3.0,0.0,20221108204811
42,Uruguay,South Korea,25,-8,3.0,0.0,20221108204811
43,Portugal,Ghana,24,-7,3.0,0.0,20221108204811
44,South Korea,Ghana,23,-6,3.0,0.0,20221108204811
45,Portugal,Uruguay,23,-6,3.0,0.0,20221108204811
46,Ghana,Uruguay,23,-5,3.0,0.0,20221108204811
47,South Korea,Portugal,22,-5,3.0,0.0,20221108204811
