,home_team,away_team,home_score,away_score,h_points,a_points,timestamp
0,Qatar,Ecuador,0,2,0.0,3.0,20221106221700
1,Senegal,Netherlands,0,2,0.0,3.0,20221106221700
2,Qatar,Senegal,0,0,1.0,1.0,20221106221700
3,Netherlands,Ecuador,0,0,1.0,1.0,20221106221700
4,Ecuador,Senegal,1,2,0.0,3.0,20221106221700
5,Netherlands,Qatar,2,1,3.0,0.0,20221106221700
6,England,Iran,1,2,0.0,3.0,20221106221700
7,USA,Wales,0,0,1.0,1.0,20221106221700
8,Wales,Iran,0,2,0.0,3.0,20221106221700
9,England,USA,2,1,3.0,0.0,20221106221700
10,Iran,USA,1,1,1.0,1.0,20221106221700
11,Wales,England,2,2,1.0,1.0,20221106221700
12,Argentina,Saudi Arabia,2,1,3.0,0.0,20221106221700
13,Mexico,Poland,0,0,1.0,1.0,20221106221700
14,Poland,Saudi Arabia,2,0,3.0,0.0,20221106221700
15,Argentina,Mexico,0,0,1.0,1.0,20221106221700
16,Poland,Argentina,1,2,0.0,3.0,20221106221700
17,Saudi Arabia,Mexico,1,1,1.0,1.0,20221106221700
18,Denmark,Tunisia,3,1,3.0,0.0,20221106221700
19,France,Australia,5,1,3.0,0.0,20221106221700
20,Tunisia,Australia,1,2,0.0,3.0,20221106221700
21,France,Denmark,2,2,1.0,1.0,20221106221700
22,Australia,Denmark,0,0,1.0,1.0,20221106221700
23,Tunisia,France,0,3,0.0,3.0,20221106221700
24,Germany,Japan,3,1,3.0,0.0,20221106221700
25,Spain,Costa Rica,1,0,3.0,0.0,20221106221700
26,Japan,Costa Rica,2,1,3.0,0.0,20221106221700
27,Spain,Germany,1,1,1.0,1.0,20221106221700
28,Costa Rica,Germany,1,3,0.0,3.0,20221106221700
29,Japan,Spain,0,1,0.0,3.0,20221106221700
30,Morocco,Croatia,0,2,0.0,3.0,20221106221700
31,Belgium,Canada,1,0,3.0,0.0,20221106221700
32,Belgium,Morocco,2,0,3.0,0.0,20221106221700
33,Croatia,Canada,2,0,3.0,0.0,20221106221700
34,Canada,Morocco,0,2,0.0,3.0,20221106221700
35,Croatia,Belgium,1,0,3.0,0.0,20221106221700
36,Switzerland,Cameroon,3,3,1.0,1.0,20221106221700
37,Brazil,Serbia,0,2,0.0,3.0,20221106221700
38,Cameroon,Serbia,1,3,0.0,3.0,20221106221700
39,Brazil,Switzerland,0,2,0.0,3.0,20221106221700
40,Cameroon,Brazil,1,2,0.0,3.0,20221106221700
41,Serbia,Switzerland,1,2,0.0,3.0,20221106221700
42,Uruguay,South Korea,3,3,1.0,1.0,20221106221700
43,Portugal,Ghana,5,1,3.0,0.0,20221106221700
44,South Korea,Ghana,1,2,0.0,3.0,20221106221700
45,Portugal,Uruguay,2,1,3.0,0.0,20221106221700
46,Ghana,Uruguay,0,2,0.0,3.0,20221106221700
47,South Korea,Portugal,3,2,3.0,0.0,20221106221700
