,home_team,away_team,home_score,away_score,h_points,a_points,timestamp
0,Qatar,Ecuador,0,2,0.0,3.0,20221106213710
1,Senegal,Netherlands,2,3,0.0,3.0,20221106213710
2,Qatar,Senegal,0,1,0.0,3.0,20221106213710
3,Netherlands,Ecuador,1,0,3.0,0.0,20221106213710
4,Ecuador,Senegal,3,2,3.0,0.0,20221106213710
5,Netherlands,Qatar,3,0,3.0,0.0,20221106213710
6,England,Iran,1,0,3.0,0.0,20221106213710
7,USA,Wales,3,1,3.0,0.0,20221106213710
8,Wales,Iran,3,1,3.0,0.0,20221106213710
9,England,USA,2,0,3.0,0.0,20221106213710
10,Iran,USA,1,1,1.0,1.0,20221106213710
11,Wales,England,0,0,1.0,1.0,20221106213710
12,Argentina,Saudi Arabia,3,0,3.0,0.0,20221106213710
13,Mexico,Poland,2,3,0.0,3.0,20221106213710
14,Poland,Saudi Arabia,1,0,3.0,0.0,20221106213710
15,Argentina,Mexico,0,0,1.0,1.0,20221106213710
16,Poland,Argentina,2,2,1.0,1.0,20221106213710
17,Saudi Arabia,Mexico,1,1,1.0,1.0,20221106213710
18,Denmark,Tunisia,2,1,3.0,0.0,20221106213710
19,France,Australia,1,0,3.0,0.0,20221106213710
20,Tunisia,Australia,3,3,1.0,1.0,20221106213710
21,France,Denmark,2,2,1.0,1.0,20221106213710
22,Australia,Denmark,1,1,1.0,1.0,20221106213710
23,Tunisia,France,0,2,0.0,3.0,20221106213710
24,Germany,Japan,2,1,3.0,0.0,20221106213710
25,Spain,Costa Rica,2,0,3.0,0.0,20221106213710
26,Japan,Costa Rica,2,1,3.0,0.0,20221106213710
27,Spain,Germany,1,2,0.0,3.0,20221106213710
28,Costa Rica,Germany,0,2,0.0,3.0,20221106213710
29,Japan,Spain,0,1,0.0,3.0,20221106213710
30,Morocco,Croatia,0,2,0.0,3.0,20221106213710
31,Belgium,Canada,2,0,3.0,0.0,20221106213710
32,Belgium,Morocco,3,3,1.0,1.0,20221106213710
33,Croatia,Canada,1,0,3.0,0.0,20221106213710
34,Canada,Morocco,0,2,0.0,3.0,20221106213710
35,Croatia,Belgium,1,0,3.0,0.0,20221106213710
36,Switzerland,Cameroon,3,3,1.0,1.0,20221106213710
37,Brazil,Serbia,2,1,3.0,0.0,20221106213710
38,Cameroon,Serbia,1,1,1.0,1.0,20221106213710
39,Brazil,Switzerland,3,3,1.0,1.0,20221106213710
40,Cameroon,Brazil,1,2,0.0,3.0,20221106213710
41,Serbia,Switzerland,3,2,3.0,0.0,20221106213710
42,Uruguay,South Korea,3,3,1.0,1.0,20221106213710
43,Portugal,Ghana,3,0,3.0,0.0,20221106213710
44,South Korea,Ghana,1,1,1.0,1.0,20221106213710
45,Portugal,Uruguay,0,2,0.0,3.0,20221106213710
46,Ghana,Uruguay,0,1,0.0,3.0,20221106213710
47,South Korea,Portugal,3,2,3.0,0.0,20221106213710
