,home_team,away_team,home_score,away_score,h_points,a_points,timestamp
0,Qatar,Ecuador,0,2,0.0,3.0,20221106215917
1,Senegal,Netherlands,2,3,0.0,3.0,20221106215917
2,Qatar,Senegal,0,1,0.0,3.0,20221106215917
3,Netherlands,Ecuador,2,0,3.0,0.0,20221106215917
4,Ecuador,Senegal,2,3,0.0,3.0,20221106215917
5,Netherlands,Qatar,2,0,3.0,0.0,20221106215917
6,England,Iran,2,1,3.0,0.0,20221106215917
7,USA,Wales,3,1,3.0,0.0,20221106215917
8,Wales,Iran,1,1,1.0,1.0,20221106215917
9,England,USA,2,1,3.0,0.0,20221106215917
10,Iran,USA,0,2,0.0,3.0,20221106215917
11,Wales,England,2,2,1.0,1.0,20221106215917
12,Argentina,Saudi Arabia,2,1,3.0,0.0,20221106215917
13,Mexico,Poland,1,0,3.0,0.0,20221106215917
14,Poland,Saudi Arabia,0,0,1.0,1.0,20221106215917
15,Argentina,Mexico,0,0,1.0,1.0,20221106215917
16,Poland,Argentina,2,2,1.0,1.0,20221106215917
17,Saudi Arabia,Mexico,1,1,1.0,1.0,20221106215917
18,Denmark,Tunisia,3,0,3.0,0.0,20221106215917
19,France,Australia,3,0,3.0,0.0,20221106215917
20,Tunisia,Australia,3,3,1.0,1.0,20221106215917
21,France,Denmark,1,1,1.0,1.0,20221106215917
22,Australia,Denmark,1,1,1.0,1.0,20221106215917
23,Tunisia,France,0,2,0.0,3.0,20221106215917
24,Germany,Japan,2,1,3.0,0.0,20221106215917
25,Spain,Costa Rica,2,0,3.0,0.0,20221106215917
26,Japan,Costa Rica,2,1,3.0,0.0,20221106215917
27,Spain,Germany,1,1,1.0,1.0,20221106215917
28,Costa Rica,Germany,0,1,0.0,3.0,20221106215917
29,Japan,Spain,0,1,0.0,3.0,20221106215917
30,Morocco,Croatia,0,2,0.0,3.0,20221106215917
31,Belgium,Canada,3,1,3.0,0.0,20221106215917
32,Belgium,Morocco,3,4,0.0,3.0,20221106215917
33,Croatia,Canada,1,0,3.0,0.0,20221106215917
34,Canada,Morocco,0,2,0.0,3.0,20221106215917
35,Croatia,Belgium,1,0,3.0,0.0,20221106215917
36,Switzerland,Cameroon,3,3,1.0,1.0,20221106215917
37,Brazil,Serbia,2,1,3.0,0.0,20221106215917
38,Cameroon,Serbia,0,1,0.0,3.0,20221106215917
39,Brazil,Switzerland,3,3,1.0,1.0,20221106215917
40,Cameroon,Brazil,1,2,0.0,3.0,20221106215917
41,Serbia,Switzerland,3,2,3.0,0.0,20221106215917
42,Uruguay,South Korea,3,3,1.0,1.0,20221106215917
43,Portugal,Ghana,3,0,3.0,0.0,20221106215917
44,South Korea,Ghana,0,0,1.0,1.0,20221106215917
45,Portugal,Uruguay,0,1,0.0,3.0,20221106215917
46,Ghana,Uruguay,0,2,0.0,3.0,20221106215917
47,South Korea,Portugal,3,2,3.0,0.0,20221106215917
