,home_team,away_team,home_score,away_score,h_points,a_points,timestamp
0,Qatar,Ecuador,0,2,0.0,3.0,20221106212828
1,Senegal,Netherlands,0,2,0.0,3.0,20221106212828
2,Qatar,Senegal,0,2,0.0,3.0,20221106212828
3,Netherlands,Ecuador,2,1,3.0,0.0,20221106212828
4,Ecuador,Senegal,1,2,0.0,3.0,20221106212828
5,Netherlands,Qatar,5,0,3.0,0.0,20221106212828
6,England,Iran,0,2,0.0,3.0,20221106212828
7,USA,Wales,2,3,0.0,3.0,20221106212828
8,Wales,Iran,0,2,0.0,3.0,20221106212828
9,England,USA,1,0,3.0,0.0,20221106212828
10,Iran,USA,0,2,0.0,3.0,20221106212828
11,Wales,England,2,2,1.0,1.0,20221106212828
12,Argentina,Saudi Arabia,2,1,3.0,0.0,20221106212828
13,Mexico,Poland,0,2,0.0,3.0,20221106212828
14,Poland,Saudi Arabia,4,0,3.0,0.0,20221106212828
15,Argentina,Mexico,0,0,1.0,1.0,20221106212828
16,Poland,Argentina,2,2,1.0,1.0,20221106212828
17,Saudi Arabia,Mexico,1,1,1.0,1.0,20221106212828
18,Denmark,Tunisia,0,2,0.0,3.0,20221106212828
19,France,Australia,2,0,3.0,0.0,20221106212828
20,Tunisia,Australia,1,2,0.0,3.0,20221106212828
21,France,Denmark,1,1,1.0,1.0,20221106212828
22,Australia,Denmark,0,0,1.0,1.0,20221106212828
23,Tunisia,France,0,3,0.0,3.0,20221106212828
24,Germany,Japan,2,1,3.0,0.0,20221106212828
25,Spain,Costa Rica,1,0,3.0,0.0,20221106212828
26,Japan,Costa Rica,2,1,3.0,0.0,20221106212828
27,Spain,Germany,1,1,1.0,1.0,20221106212828
28,Costa Rica,Germany,1,3,0.0,3.0,20221106212828
29,Japan,Spain,0,1,0.0,3.0,20221106212828
30,Morocco,Croatia,0,2,0.0,3.0,20221106212828
31,Belgium,Canada,1,0,3.0,0.0,20221106212828
32,Belgium,Morocco,2,0,3.0,0.0,20221106212828
33,Croatia,Canada,1,0,3.0,0.0,20221106212828
34,Canada,Morocco,0,2,0.0,3.0,20221106212828
35,Croatia,Belgium,1,0,3.0,0.0,20221106212828
36,Switzerland,Cameroon,2,1,3.0,0.0,20221106212828
37,Brazil,Serbia,0,2,0.0,3.0,20221106212828
38,Cameroon,Serbia,1,3,0.0,3.0,20221106212828
39,Brazil,Switzerland,0,2,0.0,3.0,20221106212828
40,Cameroon,Brazil,1,2,0.0,3.0,20221106212828
41,Serbia,Switzerland,2,3,0.0,3.0,20221106212828
42,Uruguay,South Korea,3,3,1.0,1.0,20221106212828
43,Portugal,Ghana,5,1,3.0,0.0,20221106212828
44,South Korea,Ghana,0,0,1.0,1.0,20221106212828
45,Portugal,Uruguay,0,1,0.0,3.0,20221106212828
46,Ghana,Uruguay,0,2,0.0,3.0,20221106212828
47,South Korea,Portugal,3,2,3.0,0.0,20221106212828
