,home_team,away_team,home_score,away_score,h_points,a_points,timestamp
0,Qatar,Ecuador,0,2,0.0,3.0,20221107202431
1,Senegal,Netherlands,2,1,3.0,0.0,20221107202431
2,Qatar,Senegal,0,1,0.0,3.0,20221107202431
3,Netherlands,Ecuador,2,1,3.0,0.0,20221107202431
4,Ecuador,Senegal,1,2,0.0,3.0,20221107202431
5,Netherlands,Qatar,2,0,3.0,0.0,20221107202431
6,England,Iran,2,1,3.0,0.0,20221107202431
7,USA,Wales,3,1,3.0,0.0,20221107202431
8,Wales,Iran,3,2,3.0,0.0,20221107202431
9,England,USA,0,0,1.0,1.0,20221107202431
10,Iran,USA,0,2,0.0,3.0,20221107202431
11,Wales,England,2,2,1.0,1.0,20221107202431
12,Argentina,Saudi Arabia,3,1,3.0,0.0,20221107202431
13,Mexico,Poland,1,2,0.0,3.0,20221107202431
14,Poland,Saudi Arabia,1,0,3.0,0.0,20221107202431
15,Argentina,Mexico,0,0,1.0,1.0,20221107202431
16,Poland,Argentina,2,2,1.0,1.0,20221107202431
17,Saudi Arabia,Mexico,1,1,1.0,1.0,20221107202431
18,Denmark,Tunisia,3,0,3.0,0.0,20221107202431
19,France,Australia,3,0,3.0,0.0,20221107202431
20,Tunisia,Australia,3,3,1.0,1.0,20221107202431
21,France,Denmark,0,1,0.0,3.0,20221107202431
22,Australia,Denmark,0,2,0.0,3.0,20221107202431
23,Tunisia,France,0,2,0.0,3.0,20221107202431
24,Germany,Japan,2,1,3.0,0.0,20221107202431
25,Spain,Costa Rica,2,0,3.0,0.0,20221107202431
26,Japan,Costa Rica,2,1,3.0,0.0,20221107202431
27,Spain,Germany,1,1,1.0,1.0,20221107202431
28,Costa Rica,Germany,0,1,0.0,3.0,20221107202431
29,Japan,Spain,0,1,0.0,3.0,20221107202431
30,Morocco,Croatia,0,2,0.0,3.0,20221107202431
31,Belgium,Canada,3,2,3.0,0.0,20221107202431
32,Belgium,Morocco,2,0,3.0,0.0,20221107202431
33,Croatia,Canada,1,0,3.0,0.0,20221107202431
34,Canada,Morocco,0,2,0.0,3.0,20221107202431
35,Croatia,Belgium,1,0,3.0,0.0,20221107202431
36,Switzerland,Cameroon,3,0,3.0,0.0,20221107202431
37,Brazil,Serbia,2,1,3.0,0.0,20221107202431
38,Cameroon,Serbia,0,1,0.0,3.0,20221107202431
39,Brazil,Switzerland,3,3,1.0,1.0,20221107202431
40,Cameroon,Brazil,1,2,0.0,3.0,20221107202431
41,Serbia,Switzerland,3,2,3.0,0.0,20221107202431
42,Uruguay,South Korea,0,2,0.0,3.0,20221107202431
43,Portugal,Ghana,3,1,3.0,0.0,20221107202431
44,South Korea,Ghana,0,0,1.0,1.0,20221107202431
45,Portugal,Uruguay,1,3,0.0,3.0,20221107202431
46,Ghana,Uruguay,0,2,0.0,3.0,20221107202431
47,South Korea,Portugal,3,2,3.0,0.0,20221107202431
