,home_team,away_team,home_score,away_score,h_points,a_points,timestamp
0,Qatar,Ecuador,0,2,0.0,3.0,20221107203323
1,Senegal,Netherlands,2,3,0.0,3.0,20221107203323
2,Qatar,Senegal,0,1,0.0,3.0,20221107203323
3,Netherlands,Ecuador,2,0,3.0,0.0,20221107203323
4,Ecuador,Senegal,3,2,3.0,0.0,20221107203323
5,Netherlands,Qatar,3,0,3.0,0.0,20221107203323
6,England,Iran,2,1,3.0,0.0,20221107203323
7,USA,Wales,3,1,3.0,0.0,20221107203323
8,Wales,Iran,0,0,1.0,1.0,20221107203323
9,England,USA,1,0,3.0,0.0,20221107203323
10,Iran,USA,0,0,1.0,1.0,20221107203323
11,Wales,England,0,0,1.0,1.0,20221107203323
12,Argentina,Saudi Arabia,2,1,3.0,0.0,20221107203323
13,Mexico,Poland,0,2,0.0,3.0,20221107203323
14,Poland,Saudi Arabia,1,0,3.0,0.0,20221107203323
15,Argentina,Mexico,0,0,1.0,1.0,20221107203323
16,Poland,Argentina,0,0,1.0,1.0,20221107203323
17,Saudi Arabia,Mexico,1,1,1.0,1.0,20221107203323
18,Denmark,Tunisia,1,0,3.0,0.0,20221107203323
19,France,Australia,2,1,3.0,0.0,20221107203323
20,Tunisia,Australia,3,3,1.0,1.0,20221107203323
21,France,Denmark,1,0,3.0,0.0,20221107203323
22,Australia,Denmark,1,1,1.0,1.0,20221107203323
23,Tunisia,France,0,4,0.0,3.0,20221107203323
24,Germany,Japan,1,0,3.0,0.0,20221107203323
25,Spain,Costa Rica,2,0,3.0,0.0,20221107203323
26,Japan,Costa Rica,2,2,1.0,1.0,20221107203323
27,Spain,Germany,1,0,3.0,0.0,20221107203323
28,Costa Rica,Germany,0,2,0.0,3.0,20221107203323
29,Japan,Spain,1,4,0.0,3.0,20221107203323
30,Morocco,Croatia,0,2,0.0,3.0,20221107203323
31,Belgium,Canada,4,2,3.0,0.0,20221107203323
32,Belgium,Morocco,3,3,1.0,1.0,20221107203323
33,Croatia,Canada,4,1,3.0,0.0,20221107203323
34,Canada,Morocco,0,2,0.0,3.0,20221107203323
35,Croatia,Belgium,1,0,3.0,0.0,20221107203323
36,Switzerland,Cameroon,0,2,0.0,3.0,20221107203323
37,Brazil,Serbia,2,1,3.0,0.0,20221107203323
38,Cameroon,Serbia,2,2,1.0,1.0,20221107203323
39,Brazil,Switzerland,3,3,1.0,1.0,20221107203323
40,Cameroon,Brazil,1,2,0.0,3.0,20221107203323
41,Serbia,Switzerland,3,2,3.0,0.0,20221107203323
42,Uruguay,South Korea,2,1,3.0,0.0,20221107203323
43,Portugal,Ghana,3,0,3.0,0.0,20221107203323
44,South Korea,Ghana,3,1,3.0,0.0,20221107203323
45,Portugal,Uruguay,0,2,0.0,3.0,20221107203323
46,Ghana,Uruguay,1,0,3.0,0.0,20221107203323
47,South Korea,Portugal,3,2,3.0,0.0,20221107203323
