0,1,2,3,4,5,6,7,8
soccer/north-central-america/concacaf-nations-league-2019-2020/barbados-nicaragua-tGVzU5Gm,25.03.2019,Barbados,Nicaragua,0:1,3.74,3.66,1.78,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC
soccer/north-central-america/concacaf-nations-league-2019-2020/canada-french-guiana-E5odylOD,24.03.2019,Canada,French Guiana,4:1,1.20,5.74,10.11,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC
soccer/north-central-america/concacaf-nations-league-2019-2020/dominican-republic-bermuda-MVl4ZRhQ,24.03.2019,Dominican Republic,Bermuda,1:3,1.89,3.46,3.45,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC
soccer/north-central-america/concacaf-nations-league-2019-2020/el-salvador-jamaica-lbpJTdM4,24.03.2019,El Salvador,Jamaica,2:0,2.40,2.92,2.87,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC
soccer/north-central-america/concacaf-nations-league-2019-2020/guadeloupe-martinique-KIh2XvNu,24.03.2019,Guadeloupe,Martinique,0:1,3.22,3.19,2.06,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC
soccer/north-central-america/concacaf-nations-league-2019-2020/haiti-cuba-OvyWUo1s,24.03.2019,Haiti,Cuba,2:1,1.56,3.82,4.85,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC
soccer/north-central-america/concacaf-nations-league-2019-2020/puerto-rico-grenada-YTzePsVI,24.03.2019,Puerto Rico,Grenada,0:2,2.24,3.43,2.66,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC
soccer/north-central-america/concacaf-nations-league-2019-2020/british-virgin-islands-bonaire-A79LIKjk,24.03.2019,British Virgin Islands,Bonaire,1:2,2.18,3.54,2.67,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC
soccer/north-central-america/concacaf-nations-league-2019-2020/antigua-and-barbuda-curacao-S8k0z8wK,23.03.2019,Antigua and Barbuda,Curacao,2:1,9.29,4.85,1.25,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC
soccer/north-central-america/concacaf-nations-league-2019-2020/cayman-islands-montserrat-ETTrSqo0,23.03.2019,Cayman Islands,Montserrat,1:2,4.92,3.98,1.50,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC
soccer/north-central-america/concacaf-nations-league-2019-2020/dominica-bahamas-b9i6Wbxn,23.03.2019,Dominica,Bahamas,4:0,1.60,3.43,5.03,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC
