,0,1,2,3,4,5,6,7,8
0,soccer/world/world-cup-2006/italy-france-4Y9TBwM5,09.07.2006,Italy,France,2:1,2.57,2.79,3.18,https://www.betexplorer.com/soccer/world/world-cup-2006/results/?stage=rVr9374R
1,soccer/world/world-cup-2006/germany-portugal-MPnHCJ6a,08.07.2006,Germany,Portugal,3:1,1.83,3.36,4.31,https://www.betexplorer.com/soccer/world/world-cup-2006/results/?stage=rVr9374R
2,soccer/world/world-cup-2006/portugal-france-hjrDDaig,05.07.2006,Portugal,France,0:1,3.84,2.87,2.14,https://www.betexplorer.com/soccer/world/world-cup-2006/results/?stage=rVr9374R
3,soccer/world/world-cup-2006/germany-italy-Eaq9Euxm,04.07.2006,Germany,Italy,0:2,2.43,2.87,3.21,https://www.betexplorer.com/soccer/world/world-cup-2006/results/?stage=rVr9374R
4,soccer/world/world-cup-2006/brazil-france-Wzf4FLMt,01.07.2006,Brazil,France,0:1,1.74,3.34,5.04,https://www.betexplorer.com/soccer/world/world-cup-2006/results/?stage=rVr9374R
5,soccer/world/world-cup-2006/england-portugal-fF2xK1EP,01.07.2006,England,Portugal,0:1,2.11,3.02,3.70,https://www.betexplorer.com/soccer/world/world-cup-2006/results/?stage=rVr9374R
6,soccer/world/world-cup-2006/germany-argentina-b3irdbMI,30.06.2006,Germany,Argentina,2:1,2.55,3.00,2.89,https://www.betexplorer.com/soccer/world/world-cup-2006/results/?stage=rVr9374R
7,soccer/world/world-cup-2006/italy-ukraine-xfjneIyP,30.06.2006,Italy,Ukraine,3:0,1.58,3.40,6.86,https://www.betexplorer.com/soccer/world/world-cup-2006/results/?stage=rVr9374R
8,soccer/world/world-cup-2006/brazil-ghana-hjMsbKi6,27.06.2006,Brazil,Ghana,3:0,1.26,5.23,10.63,https://www.betexplorer.com/soccer/world/world-cup-2006/results/?stage=rVr9374R
9,soccer/world/world-cup-2006/spain-france-WtLocv7C,27.06.2006,Spain,France,1:3,2.33,3.00,3.19,https://www.betexplorer.com/soccer/world/world-cup-2006/results/?stage=rVr9374R
10,soccer/world/world-cup-2006/italy-australia-t8fRatNg,26.06.2006,Italy,Australia,1:0,1.53,3.72,6.94,https://www.betexplorer.com/soccer/world/world-cup-2006/results/?stage=rVr9374R
11,soccer/world/world-cup-2006/switzerland-ukraine-bTMwa0x0,26.06.2006,Switzerland,Ukraine,0:1,2.40,3.01,3.14,https://www.betexplorer.com/soccer/world/world-cup-2006/results/?stage=rVr9374R
12,soccer/world/world-cup-2006/england-ecuador-Kh6I12hs,25.06.2006,England,Ecuador,1:0,1.50,3.78,6.99,https://www.betexplorer.com/soccer/world/world-cup-2006/results/?stage=rVr9374R
13,soccer/world/world-cup-2006/portugal-netherlands-bq5M0M7m,25.06.2006,Portugal,Netherlands,1:0,3.11,3.05,2.38,https://www.betexplorer.com/soccer/world/world-cup-2006/results/?stage=rVr9374R
14,soccer/world/world-cup-2006/argentina-mexico-S0Ej6rpQ,24.06.2006,Argentina,Mexico,2:1,1.36,4.20,10.01,https://www.betexplorer.com/soccer/world/world-cup-2006/results/?stage=rVr9374R
15,soccer/world/world-cup-2006/germany-sweden-lAFn7OUJ,24.06.2006,Germany,Sweden,2:0,1.63,3.51,5.73,https://www.betexplorer.com/soccer/world/world-cup-2006/results/?stage=rVr9374R
16,soccer/world/world-cup-2010/chile-spain-2BA24QMq,25.06.2010,Chile,Spain,1:2,6.82,4.11,1.50,https://www.betexplorer.com/soccer/world/world-cup-2010/results/?stage=QN1QYX1j
17,soccer/world/world-cup-2010/switzerland-honduras-QomZLhhH,25.06.2010,Switzerland,Honduras,0:0,1.54,3.95,6.50,https://www.betexplorer.com/soccer/world/world-cup-2010/results/?stage=QN1QYX1j
18,soccer/world/world-cup-2010/north-korea-ivory-coast-niU1RdOu,25.06.2010,North Korea,Ivory Coast,0:3,9.16,4.94,1.35,https://www.betexplorer.com/soccer/world/world-cup-2010/results/?stage=QN1QYX1j
19,soccer/world/world-cup-2010/portugal-brazil-QsT5QGwn,25.06.2010,Portugal,Brazil,0:0,3.50,2.91,2.35,https://www.betexplorer.com/soccer/world/world-cup-2010/results/?stage=QN1QYX1j
20,soccer/world/world-cup-2010/paraguay-new-zealand-EJsW9eg5,24.06.2010,Paraguay,New Zealand,0:0,1.39,4.38,9.31,https://www.betexplorer.com/soccer/world/world-cup-2010/results/?stage=QN1QYX1j
21,soccer/world/world-cup-2010/slovakia-italy-WAKJAyva,24.06.2010,Slovakia,Italy,3:2,6.83,3.78,1.55,https://www.betexplorer.com/soccer/world/world-cup-2010/results/?stage=QN1QYX1j
22,soccer/world/world-cup-2010/cameroon-netherlands-8lTlgz9O,24.06.2010,Cameroon,Netherlands,1:2,5.35,3.69,1.67,https://www.betexplorer.com/soccer/world/world-cup-2010/results/?stage=QN1QYX1j
23,soccer/world/world-cup-2010/denmark-japan-UcUpfGgI,24.06.2010,Denmark,Japan,1:3,2.24,3.21,3.36,https://www.betexplorer.com/soccer/world/world-cup-2010/results/?stage=QN1QYX1j
24,soccer/world/world-cup-2010/australia-serbia-Kpne6t2J,23.06.2010,Australia,Serbia,2:1,4.31,3.54,1.85,https://www.betexplorer.com/soccer/world/world-cup-2010/results/?stage=QN1QYX1j
25,soccer/world/world-cup-2010/ghana-germany-Cfc6clbJ,23.06.2010,Ghana,Germany,0:1,7.67,4.27,1.44,https://www.betexplorer.com/soccer/world/world-cup-2010/results/?stage=QN1QYX1j
26,soccer/world/world-cup-2010/slovenia-england-ImKFpBED,23.06.2010,Slovenia,England,0:1,8.01,4.24,1.44,https://www.betexplorer.com/soccer/world/world-cup-2010/results/?stage=QN1QYX1j
27,soccer/world/world-cup-2010/usa-algeria-lCzA8E6K,23.06.2010,USA,Algeria,1:0,1.86,3.57,4.22,https://www.betexplorer.com/soccer/world/world-cup-2010/results/?stage=QN1QYX1j
28,soccer/world/world-cup-2010/greece-argentina-61p693oc,22.06.2010,Greece,Argentina,0:2,7.36,4.12,1.47,https://www.betexplorer.com/soccer/world/world-cup-2010/results/?stage=QN1QYX1j
29,soccer/world/world-cup-2010/nigeria-south-korea-0vrFpK8d,22.06.2010,Nigeria,South Korea,2:2,2.92,3.31,2.43,https://www.betexplorer.com/soccer/world/world-cup-2010/results/?stage=QN1QYX1j
30,soccer/world/world-cup-2010/france-south-africa-zVXBepHc,22.06.2010,France,South Africa,1:2,2.09,3.43,3.48,https://www.betexplorer.com/soccer/world/world-cup-2010/results/?stage=QN1QYX1j
31,soccer/world/world-cup-2010/mexico-uruguay-dvZ7dQ1i,22.06.2010,Mexico,Uruguay,0:1,3.69,1.94,3.64,https://www.betexplorer.com/soccer/world/world-cup-2010/results/?stage=QN1QYX1j
32,soccer/world/world-cup-2010/chile-switzerland-E3LINEN4,21.06.2010,Chile,Switzerland,1:0,2.15,3.15,3.67,https://www.betexplorer.com/soccer/world/world-cup-2010/results/?stage=QN1QYX1j
33,soccer/world/world-cup-2010/spain-honduras-dCrVMYxB,21.06.2010,Spain,Honduras,2:0,1.11,8.54,23.89,https://www.betexplorer.com/soccer/world/world-cup-2010/results/?stage=QN1QYX1j
34,soccer/world/world-cup-2010/portugal-north-korea-raZn6DhU,21.06.2010,Portugal,North Korea,7:0,1.37,4.45,10.00,https://www.betexplorer.com/soccer/world/world-cup-2010/results/?stage=QN1QYX1j
35,soccer/world/world-cup-2010/brazil-ivory-coast-48zq7gwO,20.06.2010,Brazil,Ivory Coast,3:1,1.73,3.44,5.37,https://www.betexplorer.com/soccer/world/world-cup-2010/results/?stage=QN1QYX1j
36,soccer/world/world-cup-2010/italy-new-zealand-OpLFBHOh,20.06.2010,Italy,New Zealand,1:1,1.21,5.90,16.50,https://www.betexplorer.com/soccer/world/world-cup-2010/results/?stage=QN1QYX1j
37,soccer/world/world-cup-2010/slovakia-paraguay-pfMBCc9n,20.06.2010,Slovakia,Paraguay,0:2,3.83,3.20,2.05,https://www.betexplorer.com/soccer/world/world-cup-2010/results/?stage=QN1QYX1j
38,soccer/world/world-cup-2010/cameroon-denmark-CMZuedvC,19.06.2010,Cameroon,Denmark,1:2,2.87,3.19,2.53,https://www.betexplorer.com/soccer/world/world-cup-2010/results/?stage=QN1QYX1j
39,soccer/world/world-cup-2010/netherlands-japan-YVzxdxP5,19.06.2010,Netherlands,Japan,1:0,1.43,4.14,8.66,https://www.betexplorer.com/soccer/world/world-cup-2010/results/?stage=QN1QYX1j
40,soccer/world/world-cup-2010/ghana-australia-4UgbaAT6,19.06.2010,Ghana,Australia,1:1,2.29,3.16,3.30,https://www.betexplorer.com/soccer/world/world-cup-2010/results/?stage=QN1QYX1j
41,soccer/world/world-cup-2010/germany-serbia-Qwef0jE0,18.06.2010,Germany,Serbia,0:1,1.63,3.73,5.77,https://www.betexplorer.com/soccer/world/world-cup-2010/results/?stage=QN1QYX1j
42,soccer/world/world-cup-2010/england-algeria-dYV6nXq1,18.06.2010,England,Algeria,0:0,1.22,5.81,14.83,https://www.betexplorer.com/soccer/world/world-cup-2010/results/?stage=QN1QYX1j
