,0,1,2,3,4,5,6,7,8
22,soccer/north-central-america/concacaf-nations-league-2019-2020/bahamas-anguilla-d0kGv2D8,19.11.2018,Bahamas,Anguilla,1:1,1.55,3.96,4.81,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC
23,soccer/north-central-america/concacaf-nations-league-2019-2020/barbados-united-states-virgin-islands-zilKwMSE,19.11.2018,Barbados,United States Virgin Islands,3:0,1.03,13.18,24.37,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC
24,soccer/north-central-america/concacaf-nations-league-2019-2020/saint-kitts-and-nevis-canada-lb8PHv6e,19.11.2018,Saint Kitts and Nevis,Canada,0:1,8.57,5.49,1.24,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC
25,soccer/north-central-america/concacaf-nations-league-2019-2020/cayman-islands-saint-lucia-pQN3Vcze,18.11.2018,Cayman Islands,Saint Lucia,0:0,8.40,4.99,1.28,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC
26,soccer/north-central-america/concacaf-nations-league-2019-2020/jamaica-suriname-lbUfXJ5r,18.11.2018,Jamaica,Suriname,2:1,1.26,4.99,9.47,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC
27,soccer/north-central-america/concacaf-nations-league-2019-2020/nicaragua-haiti-rc1YFIz8,18.11.2018,Nicaragua,Haiti,0:2,2.35,3.18,2.74,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC
28,soccer/north-central-america/concacaf-nations-league-2019-2020/turks-and-caicos-islands-saint-vincent-and-the-grenadines-vPIkOtTR,18.11.2018,Turks and Caicos Islands,Saint Vincent and the Grenadines,3:2,19.57,10.36,1.04,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC
29,soccer/north-central-america/concacaf-nations-league-2019-2020/aruba-montserrat-21YbWwLl,17.11.2018,Aruba,Montserrat,0:2,2.48,3.05,2.67,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC
30,soccer/north-central-america/concacaf-nations-league-2019-2020/belize-puerto-rico-AXKFSeKD,17.11.2018,Belize,Puerto Rico,1:0,1.73,3.27,4.50,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC
31,soccer/north-central-america/concacaf-nations-league-2019-2020/bermuda-el-salvador-WtMBTy57,17.11.2018,Bermuda,El Salvador,1:0,5.62,4.47,1.41,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC
32,soccer/north-central-america/concacaf-nations-league-2019-2020/cuba-dominican-republic-WMcUGbL1,17.11.2018,Cuba,Dominican Republic,1:0,1.43,4.11,6.01,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC
33,soccer/north-central-america/concacaf-nations-league-2019-2020/grenada-saint-martin-d0TpPMDL,16.11.2018,Grenada,Saint Martin,5:2,1.01,17.50,20.25,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC
34,soccer/north-central-america/concacaf-nations-league-2019-2020/canada-dominica-pj7f4Lyd,17.10.2018,Canada,Dominica,5:0,1.02,13.16,30.18,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC
35,soccer/north-central-america/concacaf-nations-league-2019-2020/nicaragua-anguilla-23Z2E5a3,15.10.2018,Nicaragua,Anguilla,6:0,1.02,12.88,35.25,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC
36,soccer/north-central-america/concacaf-nations-league-2019-2020/el-salvador-barbados-tbl8hOxp,14.10.2018,El Salvador,Barbados,3:0,1.36,4.91,6.08,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC
37,soccer/north-central-america/concacaf-nations-league-2019-2020/bahamas-antigua-and-barbuda-OINBCqUF,13.10.2018,Bahamas,Antigua and Barbuda,0:6,7.96,5.98,1.22,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC
38,soccer/north-central-america/concacaf-nations-league-2019-2020/dominican-republic-cayman-islands-xQsHj27d,13.10.2018,Dominican Republic,Cayman Islands,3:0,1.07,9.40,17.33,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC
39,soccer/north-central-america/concacaf-nations-league-2019-2020/curacao-grenada-AB55eigO,11.09.2018,Curacao,Grenada,10:0,1.06,10.03,21.82,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC
40,soccer/north-central-america/concacaf-nations-league-2019-2020/haiti-sint-maarten-zgZNDY8h,11.09.2018,Haiti,Sint Maarten,13:0,1.00,18.00,28.00,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC
41,soccer/north-central-america/concacaf-nations-league-2019-2020/saint-martin-guadeloupe-SSZJEEgn,11.09.2018,Saint Martin,Guadeloupe,0:3,26.00,12.50,1.03,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC
42,soccer/north-central-america/concacaf-nations-league-2019-2020/aruba-bermuda-n9Ep0Fvg,10.09.2018,Aruba,Bermuda,3:1,3.67,3.50,1.83,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC
43,soccer/north-central-america/concacaf-nations-league-2019-2020/jamaica-cayman-islands-xb7ccDOB,10.09.2018,Jamaica,Cayman Islands,4:0,1.01,19.14,34.43,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC
44,soccer/north-central-america/concacaf-nations-league-2019-2020/saint-kitts-and-nevis-puerto-rico-GzRSsYOO,10.09.2018,Saint Kitts and Nevis,Puerto Rico,1:0,1.77,3.65,3.80,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC
45,soccer/north-central-america/concacaf-nations-league-2019-2020/bonaire-dominican-republic-lxyGFfvt,09.09.2018,Bonaire,Dominican Republic,0:5,12.00,7.30,1.15,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC
46,soccer/north-central-america/concacaf-nations-league-2019-2020/montserrat-el-salvador-OE99fB8U,09.09.2018,Montserrat,El Salvador,1:2,10.50,6.30,1.20,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC
47,soccer/north-central-america/concacaf-nations-league-2019-2020/united-states-virgin-islands-canada-6a6x2yAt,09.09.2018,United States Virgin Islands,Canada,0:8,28.00,18.00,1.00,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC
48,soccer/north-central-america/concacaf-nations-league-2019-2020/antigua-and-barbuda-saint-lucia-KMChbg95,08.09.2018,Antigua and Barbuda,Saint Lucia,0:3,1.56,4.14,4.50,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC
49,soccer/north-central-america/concacaf-nations-league-2019-2020/belize-bahamas-d8NWBCw5,08.09.2018,Belize,Bahamas,4:0,1.58,3.77,5.01,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC
50,soccer/north-central-america/concacaf-nations-league-2019-2020/cuba-turks-and-caicos-islands-Gl61dXwI,08.09.2018,Cuba,Turks and Caicos Islands,11:0,1.10,9.00,11.25,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC
51,soccer/north-central-america/concacaf-nations-league-2019-2020/saint-vincent-and-the-grenadines-nicaragua-ABRzBWhB,08.09.2018,Saint Vincent and the Grenadines,Nicaragua,0:2,4.22,3.68,1.72,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC
52,soccer/north-central-america/concacaf-nations-league-2019-2020/anguilla-french-guiana-lOes1ePn,07.09.2018,Anguilla,French Guiana,0:5,10.50,6.65,1.19,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC
53,soccer/north-central-america/concacaf-nations-league-2019-2020/guyana-barbados-EqYRChOb,07.09.2018,Guyana,Barbados,3:0,2.60,3.47,2.38,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC
54,soccer/north-central-america/concacaf-nations-league-2019-2020/dominica-suriname-tWDlaZga,06.09.2018,Dominica,Suriname,0:0,3.74,3.72,1.81,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC
55,soccer/europe/euro-2020/belgium-cyprus-4xBmDRub,19.11.2019,Belgium,Cyprus,6:1,1.01,23.21,64.92,https://www.betexplorer.com/soccer/europe/euro-2020/results/?stage=Wryav0YC
56,soccer/europe/euro-2020/san-marino-russia-KCqG4fge,19.11.2019,San Marino,Russia,0:5,87.64,41.34,1.00,https://www.betexplorer.com/soccer/europe/euro-2020/results/?stage=Wryav0YC
57,soccer/europe/euro-2020/scotland-kazakhstan-EmbJ3E81,19.11.2019,Scotland,Kazakhstan,3:1,1.55,4.01,6.14,https://www.betexplorer.com/soccer/europe/euro-2020/results/?stage=Wryav0YC
58,soccer/europe/euro-2020/latvia-austria-QFHgv1qL,19.11.2019,Latvia,Austria,1:0,18.93,7.37,1.15,https://www.betexplorer.com/soccer/europe/euro-2020/results/?stage=Wryav0YC
59,soccer/europe/euro-2020/north-macedonia-israel-2BwQWIye,19.11.2019,North Macedonia,Israel,1:0,2.44,3.49,2.76,https://www.betexplorer.com/soccer/europe/euro-2020/results/?stage=Wryav0YC
60,soccer/europe/euro-2020/poland-slovenia-z7MFMDdj,19.11.2019,Poland,Slovenia,3:2,1.73,3.55,5.09,https://www.betexplorer.com/soccer/europe/euro-2020/results/?stage=Wryav0YC
61,soccer/europe/euro-2020/slovakia-azerbaijan-QZyv48pf,19.11.2019,Slovakia,Azerbaijan,2:0,1.18,6.74,17.39,https://www.betexplorer.com/soccer/europe/euro-2020/results/?stage=Wryav0YC
62,soccer/europe/euro-2020/wales-hungary-fobeCWxE,19.11.2019,Wales,Hungary,2:0,1.51,4.16,6.43,https://www.betexplorer.com/soccer/europe/euro-2020/results/?stage=Wryav0YC
63,soccer/europe/euro-2020/germany-northern-ireland-pt8QXq4b,19.11.2019,Germany,Northern Ireland,6:1,1.09,9.95,26.89,https://www.betexplorer.com/soccer/europe/euro-2020/results/?stage=Wryav0YC
64,soccer/europe/euro-2020/netherlands-estonia-xzoaHOJH,19.11.2019,Netherlands,Estonia,5:0,1.01,23.30,67.95,https://www.betexplorer.com/soccer/europe/euro-2020/results/?stage=Wryav0YC
65,soccer/europe/euro-2020/greece-finland-l0J43BDP,18.11.2019,Greece,Finland,2:1,1.81,3.42,4.71,https://www.betexplorer.com/soccer/europe/euro-2020/results/?stage=Wryav0YC
66,soccer/europe/euro-2020/italy-armenia-EmpOXhNs,18.11.2019,Italy,Armenia,9:1,1.08,10.26,30.52,https://www.betexplorer.com/soccer/europe/euro-2020/results/?stage=Wryav0YC
67,soccer/europe/euro-2020/liechtenstein-bosnia-herzegovina-vVyEtl6C,18.11.2019,Liechtenstein,Bosnia &amp; Herzegovina,0:3,18.89,8.29,1.13,https://www.betexplorer.com/soccer/europe/euro-2020/results/?stage=Wryav0YC
68,soccer/europe/euro-2020/malta-norway-ETgOWcKc,18.11.2019,Malta,Norway,1:2,27.69,9.77,1.08,https://www.betexplorer.com/soccer/europe/euro-2020/results/?stage=Wryav0YC
69,soccer/europe/euro-2020/spain-romania-8fBsOTyQ,18.11.2019,Spain,Romania,5:0,1.16,7.50,16.19,https://www.betexplorer.com/soccer/europe/euro-2020/results/?stage=Wryav0YC
70,soccer/europe/euro-2020/sweden-faroe-islands-h0QtKKzh,18.11.2019,Sweden,Faroe Islands,3:0,1.10,8.98,24.89,https://www.betexplorer.com/soccer/europe/euro-2020/results/?stage=Wryav0YC
71,soccer/europe/euro-2020/gibraltar-switzerland-8fqvmG92,18.11.2019,Gibraltar,Switzerland,1:6,62.45,27.02,1.01,https://www.betexplorer.com/soccer/europe/euro-2020/results/?stage=Wryav0YC
